,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.5919920369611416,0.061031161775224295,1.4697653548713743,1.5519533784092727,1.5875571165013298,1.6332468132485773,1.7125133454160453,0.0028793170619573288
a_std,0.301518805848755,0.05226949526242115,0.21852309935066794,0.26529902311718356,0.29386093653000767,0.33203979025798724,0.41983516261225073,0.002880146933558943
a_subj.sub-004,1.849475944778318,0.11175449381159944,1.6432541607575062,1.7756116278413567,1.8489869061313222,1.9196653282047622,2.0706654863599168,0.006177990334083698
a_subj.sub-005,1.7017928743706203,0.09146581252925447,1.5311043064214158,1.6429750372116545,1.6965478609799414,1.7605345316873509,1.8869177340868704,0.005011871742109196
a_subj.sub-006,1.7462175528079442,0.0818041975108281,1.6092492078588245,1.6860631972300908,1.7416784721435845,1.797786188837168,1.9196443291108969,0.00400561452835042
a_subj.sub-007,1.4246185931593824,0.07350944911991097,1.302028345284265,1.376241880812425,1.4228671808040567,1.4703630198763107,1.5872682357941097,0.004085882888642793
a_subj.sub-008,1.3882697990228738,0.14291351087467616,1.1531773787407091,1.2953879197748495,1.3771205823704575,1.465267317543589,1.7390271437711,0.009410295144589279
a_subj.sub-009,1.5864472328362973,0.0996700861047281,1.3919316010166605,1.5202665805479476,1.5857527086532726,1.653509810717566,1.7891516657136886,0.004319077019518225
a_subj.sub-010,1.5005873601461783,0.10392176565579787,1.3161711932054154,1.4290350681079318,1.4920604827840063,1.5690233725742555,1.710840407403247,0.005552599653806034
a_subj.sub-011,2.3345138886338814,0.18831000323502375,2.033012576254499,2.2060059245627968,2.3167846336790823,2.4470777824193397,2.7767591738262234,0.012620779163338628
a_subj.sub-012,1.1858016538480411,0.06870941911836768,1.0446819483363612,1.1383164420150103,1.1827001587615413,1.2311424417785126,1.3318876311356131,0.0035063437747209327
a_subj.sub-013,1.4814631325806822,0.07861718871885562,1.331382683495952,1.4250582256789468,1.4819317696076084,1.5368745915322246,1.636468738805089,0.003884036722681058
a_subj.sub-014,1.7372965790951833,0.14739490848363482,1.497729970382452,1.6314333342466965,1.725680604567655,1.8291894186217337,2.0865948237503202,0.00871826161506655
a_subj.sub-015,1.7798470768543893,0.09866971559906429,1.5969365483016125,1.7062424222086583,1.773523910562366,1.8517203561349853,1.9785854991844332,0.005918294109400809
a_subj.sub-016,1.5112814134819812,0.10498349122856807,1.308714222390319,1.4376232784899217,1.505666493359394,1.5816034946011852,1.744223294391856,0.005031944621926602
a_subj.sub-017,1.689082208324966,0.08935842482047673,1.523591736921298,1.6275903855870102,1.6829004759740274,1.740163150514794,1.8774803431746865,0.004650459342320943
a_subj.sub-019,1.3033391883040504,0.06935118058450628,1.1851660174424896,1.252142926355832,1.3001879631647832,1.3491542551184632,1.4453481955215883,0.004012888565329979
a_subj.sub-020,1.5603839441526548,0.09261302796940914,1.3988942365191075,1.4965498691245172,1.5530158346356697,1.6216954947549092,1.7565832294925063,0.004686015660530774
a_subj.sub-022,1.307335511188606,0.06615111025619098,1.181847665897375,1.2626483245997107,1.3047936567779803,1.352905909552186,1.4486343627612688,0.003602781042810186
a_subj.sub-023,1.9219867399979678,0.1323595894794004,1.6945110473764986,1.8263186169660868,1.9208020748275336,2.0033935103200147,2.2211164510657966,0.0072149014661740275
a_subj.sub-024,1.1573271851675844,0.056878411738546714,1.0548722667765826,1.118878730953287,1.1530317794450413,1.1948579584679682,1.278613996732275,0.0030530862922581764
a_subj.sub-026,1.2711141945869966,0.07479912193674115,1.131546472897944,1.2176383360368932,1.2673028766281647,1.3209635276487577,1.42403259517265,0.0038600322830303463
