,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_beta,49.55,1.666,46.433,52.575,0.02,0.014,7196.0,6354.0,1.0
beta_param[0],168.164,27.949,118.233,222.072,0.277,0.198,10074.0,5911.0,1.0
beta_param[1],152.651,25.922,103.727,199.676,0.31,0.219,6726.0,4901.0,1.0
beta_param[2],135.332,21.8,93.491,175.065,0.22,0.155,9546.0,5665.0,1.0
beta_param[3],125.085,20.431,87.815,163.859,0.214,0.153,9070.0,5998.0,1.0
beta_param[4],121.886,20.269,85.146,160.35,0.218,0.154,8484.0,5592.0,1.0
beta_param[5],112.152,17.969,79.73,145.784,0.188,0.134,9019.0,5888.0,1.0
beta_param[6],166.635,27.405,115.788,218.563,0.351,0.248,5888.0,3916.0,1.0
beta_param[7],125.365,22.614,83.775,167.387,0.319,0.225,4669.0,3538.0,1.0
beta_param[8],117.806,20.457,81.242,156.752,0.238,0.168,7167.0,6434.0,1.0
beta_param[9],154.787,25.088,108.233,201.991,0.253,0.179,9555.0,6024.0,1.0
beta_param[10],108.589,17.315,75.274,140.175,0.209,0.148,6764.0,5798.0,1.0
beta_param[11],125.05,21.376,89.313,168.681,0.243,0.173,7698.0,5884.0,1.0
beta_param[12],159.394,25.948,110.114,206.936,0.274,0.194,8800.0,5835.0,1.0
beta_param[13],156.938,26.859,108.814,208.529,0.303,0.215,7591.0,5666.0,1.0
beta_param[14],105.94,17.983,72.398,138.729,0.179,0.126,9854.0,5587.0,1.0
beta_param[15],165.033,27.304,115.725,217.625,0.29,0.205,8746.0,5273.0,1.0
beta_param[16],142.375,24.848,95.859,189.033,0.251,0.178,9548.0,5782.0,1.0
beta_param[17],141.209,23.004,98.926,183.453,0.245,0.173,8560.0,5477.0,1.0
beta_param[18],169.512,27.302,118.447,220.897,0.299,0.211,8230.0,5360.0,1.0
beta_param[19],111.257,18.531,78.438,147.826,0.23,0.162,6247.0,4936.0,1.0
beta_param[20],148.815,26.672,101.866,201.356,0.345,0.244,5509.0,4068.0,1.0
beta_param[21],106.631,17.794,73.663,139.241,0.181,0.128,9479.0,5501.0,1.0
beta_param[22],128.643,20.889,90.604,168.042,0.208,0.147,9992.0,6213.0,1.0
beta_param[23],171.461,27.118,121.706,222.538,0.277,0.197,9384.0,5961.0,1.0
beta_param[24],63.638,11.752,42.203,85.269,0.131,0.093,7724.0,4956.0,1.0
beta_param[25],132.704,21.829,92.007,173.026,0.229,0.162,8772.0,4799.0,1.0
beta_param[26],157.519,26.911,105.666,204.165,0.3,0.218,8131.0,5875.0,1.0
beta_param[27],116.576,19.382,81.167,152.819,0.194,0.14,9996.0,5848.0,1.0
