,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_beta,53.166,1.685,50.038,56.378,0.016,0.011,11408.0,6399.0,1.0
beta_param[0],172.164,29.021,119.446,227.464,0.225,0.168,16843.0,5846.0,1.0
beta_param[1],154.343,26.216,107.94,205.484,0.211,0.155,15453.0,5949.0,1.0
beta_param[2],158.485,25.388,111.717,206.34,0.211,0.153,14111.0,5001.0,1.0
beta_param[3],157.053,24.605,112.346,203.221,0.185,0.135,17522.0,5337.0,1.0
beta_param[4],201.06,31.431,144.523,261.359,0.24,0.174,16851.0,5752.0,1.0
beta_param[5],124.785,21.256,86.221,165.197,0.153,0.116,19422.0,5959.0,1.0
beta_param[6],146.565,24.563,100.61,191.5,0.179,0.137,19554.0,5834.0,1.0
beta_param[7],140.481,23.899,96.357,184.808,0.187,0.142,16818.0,5758.0,1.0
beta_param[8],123.504,20.98,86.125,164.444,0.155,0.118,18590.0,5388.0,1.0
beta_param[9],184.825,29.144,130.352,238.073,0.233,0.165,15084.0,5556.0,1.0
beta_param[10],183.459,28.084,131.699,236.754,0.226,0.166,15607.0,5768.0,1.0
beta_param[11],134.881,22.758,93.133,177.94,0.168,0.125,18017.0,4898.0,1.0
beta_param[12],185.229,28.839,130.866,239.208,0.227,0.165,15858.0,5559.0,1.0
beta_param[13],166.259,28.735,114.398,220.431,0.213,0.159,17952.0,5833.0,1.0
beta_param[14],98.572,19.005,62.698,133.626,0.23,0.163,6390.0,4474.0,1.0
beta_param[15],172.996,29.13,121.64,229.248,0.208,0.153,19108.0,5189.0,1.0
beta_param[16],149.958,25.902,102.45,198.278,0.195,0.14,17260.0,6452.0,1.0
beta_param[17],145.817,25.123,100.331,193.465,0.227,0.163,12218.0,6296.0,1.0
beta_param[18],153.759,27.473,105.914,206.544,0.263,0.187,10531.0,5995.0,1.0
beta_param[19],171.968,26.3,121.869,219.88,0.213,0.153,14889.0,5440.0,1.0
beta_param[20],149.393,25.386,104.105,197.922,0.203,0.152,15832.0,5748.0,1.0
beta_param[21],155.486,24.566,111.903,203.948,0.193,0.141,16168.0,5616.0,1.0
beta_param[22],108.382,20.167,69.882,145.788,0.23,0.163,7004.0,5056.0,1.0
beta_param[23],159.946,26.164,113.687,209.793,0.22,0.156,13838.0,5775.0,1.0
beta_param[24],92.846,17.246,61.181,125.646,0.146,0.103,13307.0,5474.0,1.0
beta_param[25],177.219,28.978,123.956,232.625,0.236,0.169,14629.0,4903.0,1.0
beta_param[26],173.485,29.52,118.367,228.611,0.213,0.159,19215.0,4942.0,1.0
beta_param[27],186.579,28.904,133.472,240.834,0.216,0.154,17178.0,5038.0,1.0
beta_param[28],161.303,26.133,111.876,208.808,0.194,0.143,17732.0,6184.0,1.0
beta_param[29],15.186,5.052,6.139,24.455,0.052,0.037,8450.0,4835.0,1.0
beta_param[30],131.09,22.58,88.198,172.742,0.229,0.162,9473.0,4594.0,1.0
beta_param[31],133.681,22.103,93.892,175.897,0.179,0.132,15033.0,5027.0,1.0
beta_param[32],171.252,29.526,117.289,226.038,0.213,0.16,19326.0,5557.0,1.0
beta_param[33],169.51,25.96,122.395,217.355,0.202,0.146,16338.0,5714.0,1.0
beta_param[34],167.617,25.776,120.652,217.092,0.202,0.145,15722.0,5563.0,1.0
beta_param[35],151.681,23.877,107.978,197.402,0.212,0.15,12290.0,5747.0,1.0
beta_param[36],155.888,25.633,109.869,204.278,0.18,0.136,20621.0,6063.0,1.0
beta_param[37],180.856,29.251,126.51,235.52,0.24,0.172,14190.0,5723.0,1.0
beta_param[38],131.599,20.848,93.353,170.751,0.173,0.124,14220.0,6065.0,1.0
beta_param[39],112.43,19.372,76.239,148.949,0.149,0.105,16119.0,5953.0,1.0
beta_param[40],167.286,25.919,120.573,215.851,0.205,0.149,15775.0,6048.0,1.0
sigmak,2.322,0.267,1.861,2.842,0.002,0.002,16494.0,5618.0,1.0
k_pain[0],0.103,0.096,0.0,0.277,0.001,0.001,9103.0,4494.0,1.0
k_pain[1],0.451,0.302,0.0,0.968,0.004,0.003,5675.0,4084.0,1.0
k_pain[2],2.148,0.216,1.738,2.531,0.002,0.001,13834.0,4743.0,1.0
k_pain[3],2.588,0.173,2.274,2.926,0.001,0.001,14587.0,5163.0,1.0
k_pain[4],3.078,0.118,2.864,3.307,0.001,0.001,16428.0,5063.0,1.0
k_pain[5],0.129,0.122,0.0,0.357,0.001,0.001,9371.0,4203.0,1.0
k_pain[6],0.434,0.308,0.0,0.979,0.004,0.002,5481.0,3309.0,1.0
k_pain[7],0.381,0.284,0.0,0.886,0.003,0.002,6406.0,3734.0,1.0
k_pain[8],0.199,0.175,0.0,0.53,0.001,0.001,8802.0,4085.0,1.0
k_pain[9],1.975,0.206,1.594,2.352,0.002,0.001,12223.0,4526.0,1.0
k_pain[10],2.311,0.176,1.983,2.645,0.002,0.001,13693.0,5384.0,1.0
k_pain[11],0.168,0.148,0.0,0.444,0.001,0.001,9481.0,4194.0,1.0
k_pain[12],2.29,0.181,1.956,2.634,0.002,0.001,14872.0,4833.0,1.0
k_pain[13],0.436,0.293,0.0,0.944,0.003,0.002,5907.0,3760.0,1.0
k_pain[14],1.663,0.46,0.755,2.46,0.01,0.007,3165.0,1585.0,1.0
k_pain[15],0.111,0.106,0.0,0.306,0.001,0.001,9230.0,4251.0,1.0
k_pain[16],4.031,0.188,3.681,4.383,0.001,0.001,16366.0,5771.0,1.0
k_pain[17],0.85,0.382,0.065,1.453,0.006,0.004,4371.0,2789.0,1.0
k_pain[18],0.916,0.384,0.184,1.597,0.006,0.004,3897.0,2569.0,1.0
k_pain[19],2.857,0.142,2.592,3.126,0.001,0.001,14935.0,5170.0,1.0
k_pain[20],0.295,0.231,0.0,0.719,0.002,0.002,6564.0,3702.0,1.0
k_pain[21],2.786,0.157,2.496,3.077,0.001,0.001,16164.0,5879.0,1.0
k_pain[22],1.231,0.457,0.281,1.997,0.011,0.008,2034.0,999.0,1.0
k_pain[23],1.635,0.282,1.105,2.136,0.004,0.003,6968.0,3268.0,1.0
k_pain[24],3.399,0.209,3.021,3.802,0.002,0.001,13238.0,6104.0,1.0
k_pain[25],1.843,0.225,1.413,2.244,0.002,0.002,11100.0,4692.0,1.0
k_pain[26],0.123,0.114,0.0,0.335,0.001,0.001,9790.0,4427.0,1.0
k_pain[27],3.057,0.132,2.818,3.309,0.001,0.001,16000.0,5167.0,1.0
k_pain[28],2.115,0.21,1.735,2.508,0.002,0.001,14033.0,5414.0,1.0
k_pain[29],7.232,0.659,6.043,8.481,0.007,0.005,8470.0,4969.0,1.0
k_pain[30],1.459,0.385,0.72,2.139,0.007,0.005,4157.0,1834.0,1.0
k_pain[31],0.31,0.247,0.0,0.766,0.002,0.002,6670.0,4068.0,1.0
k_pain[32],0.108,0.101,0.0,0.297,0.001,0.001,9307.0,4738.0,1.0
k_pain[33],2.823,0.158,2.533,3.124,0.001,0.001,16020.0,5127.0,1.0
k_pain[34],2.766,0.151,2.473,3.04,0.001,0.001,16735.0,5695.0,1.0
k_pain[35],2.113,0.226,1.672,2.513,0.002,0.002,12822.0,4600.0,1.0
k_pain[36],0.33,0.253,0.0,0.788,0.003,0.002,7173.0,4428.0,1.0
k_pain[37],1.669,0.247,1.179,2.097,0.003,0.002,9347.0,3773.0,1.0
k_pain[38],2.7,0.185,2.365,3.062,0.002,0.001,12971.0,5123.0,1.0
k_pain[39],3.322,0.183,2.971,3.659,0.002,0.001,13540.0,5537.0,1.0
k_pain[40],2.581,0.165,2.27,2.892,0.001,0.001,16446.0,4627.0,1.0
sv_pain[0],1.01,0.01,1.0,1.028,0.0,0.0,9103.0,4494.0,1.0
sv_pain[1],1.032,0.03,1.0,1.087,0.0,0.0,9103.0,4494.0,1.0
sv_pain[2],1.043,0.041,1.0,1.117,0.0,0.0,9103.0,4494.0,1.0
sv_pain[3],1.043,0.041,1.0,1.117,0.0,0.0,9103.0,4494.0,1.0
sv_pain[4],1.043,0.041,1.0,1.117,0.0,0.0,9103.0,4494.0,1.0
sv_pain[5],1.021,0.02,1.0,1.057,0.0,0.0,9103.0,4494.0,1.0
sv_pain[6],1.032,0.03,1.0,1.087,0.0,0.0,9103.0,4494.0,1.0
sv_pain[7],1.021,0.02,1.0,1.057,0.0,0.0,9103.0,4494.0,1.0
sv_pain[8],1.043,0.041,1.0,1.117,0.0,0.0,9103.0,4494.0,1.0
sv_pain[9],1.01,0.01,1.0,1.028,0.0,0.0,9103.0,4494.0,1.0
sv_pain[10],1.054,0.053,1.0,1.149,0.0,0.0,9103.0,4494.0,1.0
sv_pain[11],1.021,0.02,1.0,1.057,0.0,0.0,9103.0,4494.0,1.0
sv_pain[12],1.01,0.01,1.0,1.028,0.0,0.0,9103.0,4494.0,1.0
sv_pain[13],1.054,0.053,1.0,1.149,0.0,0.0,9103.0,4494.0,1.0
sv_pain[14],1.032,0.03,1.0,1.087,0.0,0.0,9103.0,4494.0,1.0
sv_pain[15],1.021,0.02,1.0,1.057,0.0,0.0,9103.0,4494.0,1.0
sv_pain[16],1.01,0.01,1.0,1.028,0.0,0.0,9103.0,4494.0,1.0
sv_pain[17],1.01,0.01,1.0,1.028,0.0,0.0,9103.0,4494.0,1.0
sv_pain[18],1.032,0.03,1.0,1.087,0.0,0.0,9103.0,4494.0,1.0
sv_pain[19],1.054,0.053,1.0,1.149,0.0,0.0,9103.0,4494.0,1.0
sv_pain[20],1.032,0.03,1.0,1.087,0.0,0.0,9103.0,4494.0,1.0
sv_pain[21],1.043,0.041,1.0,1.117,0.0,0.0,9103.0,4494.0,1.0
sv_pain[22],1.054,0.053,1.0,1.149,0.0,0.0,9103.0,4494.0,1.0
sv_pain[23],1.021,0.02,1.0,1.057,0.0,0.0,9103.0,4494.0,1.0
sv_pain[24],1.021,0.02,1.0,1.057,0.0,0.0,9103.0,4494.0,1.0
sv_pain[25],1.01,0.01,1.0,1.028,0.0,0.0,9103.0,4494.0,1.0
sv_pain[26],1.054,0.053,1.0,1.149,0.0,0.0,9103.0,4494.0,1.0
sv_pain[27],1.032,0.03,1.0,1.087,0.0,0.0,9103.0,4494.0,1.0
sv_pain[28],1.032,0.03,1.0,1.087,0.0,0.0,9103.0,4494.0,1.0
sv_pain[29],1.043,0.041,1.0,1.117,0.0,0.0,9103.0,4494.0,1.0
sv_pain[30],1.054,0.053,1.0,1.149,0.0,0.0,9103.0,4494.0,1.0
sv_pain[31],1.01,0.01,1.0,1.028,0.0,0.0,9103.0,4494.0,1.0
sv_pain[32],1.043,0.041,1.0,1.117,0.0,0.0,9103.0,4494.0,1.0
sv_pain[33],1.043,0.041,1.0,1.117,0.0,0.0,9103.0,4494.0,1.0
sv_pain[34],1.01,0.01,1.0,1.028,0.0,0.0,9103.0,4494.0,1.0
sv_pain[35],1.032,0.03,1.0,1.087,0.0,0.0,9103.0,4494.0,1.0
sv_pain[36],1.054,0.053,1.0,1.149,0.0,0.0,9103.0,4494.0,1.0
sv_pain[37],1.021,0.02,1.0,1.057,0.0,0.0,9103.0,4494.0,1.0
sv_pain[38],1.021,0.02,1.0,1.057,0.0,0.0,9103.0,4494.0,1.0
sv_pain[39],1.043,0.041,1.0,1.117,0.0,0.0,9103.0,4494.0,1.0
sv_pain[40],1.032,0.03,1.0,1.087,0.0,0.0,9103.0,4494.0,1.0
sv_pain[41],1.043,0.041,1.0,1.117,0.0,0.0,9103.0,4494.0,1.0
sv_pain[42],1.032,0.03,1.0,1.087,0.0,0.0,9103.0,4494.0,1.0
