,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_beta,54.649,1.719,51.563,57.91,0.017,0.012,10372.0,6845.0,1.0
beta_param[0],180.499,31.349,123.678,238.153,0.258,0.192,14867.0,6158.0,1.0
beta_param[1],162.109,31.01,107.117,222.301,0.343,0.243,7242.0,3701.0,1.0
beta_param[2],172.034,27.954,121.847,225.548,0.234,0.169,14150.0,6219.0,1.0
beta_param[3],168.412,26.986,121.519,221.643,0.231,0.166,13534.0,5713.0,1.0
beta_param[4],216.443,33.04,153.58,277.754,0.277,0.197,13944.0,5202.0,1.0
beta_param[5],115.916,18.613,81.955,150.861,0.153,0.113,14823.0,6105.0,1.0
beta_param[6],159.211,29.743,106.73,218.283,0.37,0.262,5890.0,3084.0,1.0
beta_param[7],133.863,26.415,85.173,183.832,0.292,0.207,7479.0,4447.0,1.0
beta_param[8],113.786,20.144,77.964,151.617,0.186,0.136,11753.0,6030.0,1.0
beta_param[9],201.791,32.354,138.259,260.643,0.293,0.21,11973.0,5378.0,1.0
beta_param[10],178.988,28.144,125.624,231.493,0.238,0.17,13751.0,6716.0,1.0
beta_param[11],122.472,20.659,86.369,162.032,0.185,0.136,12687.0,6239.0,1.0
beta_param[12],202.224,31.816,143.964,265.209,0.271,0.196,13635.0,5553.0,1.0
beta_param[13],175.63,32.459,112.999,234.77,0.319,0.225,10065.0,5907.0,1.0
beta_param[14],105.739,19.494,70.663,143.201,0.189,0.134,10215.0,5238.0,1.0
beta_param[15],174.298,30.147,117.886,230.108,0.261,0.191,13461.0,6021.0,1.0
beta_param[16],158.912,26.221,112.665,209.661,0.227,0.162,12951.0,6079.0,1.0
beta_param[17],159.858,28.973,104.864,212.11,0.285,0.202,9844.0,5178.0,1.0
beta_param[18],176.716,30.46,120.143,234.476,0.302,0.213,9803.0,5505.0,1.0
beta_param[19],187.537,28.753,136.501,243.886,0.238,0.169,14418.0,5940.0,1.0
beta_param[20],146.456,28.71,96.217,202.89,0.319,0.225,7350.0,5033.0,1.0
beta_param[21],160.939,25.137,114.741,209.747,0.218,0.157,13033.0,5670.0,1.0
beta_param[22],121.442,22.265,81.122,163.26,0.21,0.149,10757.0,5124.0,1.0
beta_param[23],181.872,30.228,124.949,237.868,0.263,0.187,12886.0,5836.0,1.0
beta_param[24],87.337,15.921,56.052,116.091,0.136,0.097,13173.0,5097.0,1.0
beta_param[25],187.467,29.653,130.995,241.409,0.257,0.184,13164.0,5630.0,1.0
beta_param[26],165.938,29.036,111.722,219.502,0.251,0.183,13606.0,5855.0,1.0
beta_param[27],196.89,30.809,141.415,255.601,0.264,0.191,13524.0,5991.0,1.0
beta_param[28],170.45,27.249,120.425,221.388,0.235,0.169,13316.0,5945.0,1.0
beta_param[29],35.344,6.935,22.889,48.538,0.066,0.047,10767.0,6585.0,1.0
beta_param[30],146.002,25.115,101.3,194.844,0.232,0.164,11335.0,5846.0,1.0
beta_param[31],129.362,25.46,85.222,178.498,0.298,0.211,6756.0,5598.0,1.0
beta_param[32],174.608,30.17,120.65,231.645,0.254,0.189,14279.0,5758.0,1.0
beta_param[33],183.907,29.818,130.274,241.596,0.244,0.178,14766.0,5479.0,1.0
beta_param[34],178.916,28.102,125.501,231.449,0.244,0.173,12857.0,5239.0,1.0
beta_param[35],159.846,25.339,113.016,207.47,0.216,0.156,13658.0,5604.0,1.0
beta_param[36],163.228,30.891,106.82,221.894,0.339,0.24,7667.0,5359.0,1.0
beta_param[37],200.99,32.769,140.031,261.316,0.281,0.202,13470.0,5954.0,1.0
beta_param[38],142.506,22.979,101.425,187.709,0.197,0.141,13420.0,5756.0,1.0
beta_param[39],119.776,19.825,85.175,159.097,0.169,0.122,13480.0,5386.0,1.0
beta_param[40],176.869,28.256,125.482,230.607,0.247,0.177,12815.0,5052.0,1.0
sigmak,7.487,0.823,6.002,9.045,0.008,0.006,12123.0,6297.0,1.0
k_pain[0],0.324,0.291,0.0,0.858,0.003,0.002,7991.0,4531.0,1.0
k_pain[1],2.76,0.658,1.489,3.925,0.011,0.008,4575.0,2146.0,1.0
k_pain[2],5.945,0.499,5.018,6.891,0.004,0.003,14492.0,5430.0,1.0
k_pain[3],7.094,0.488,6.166,8.001,0.004,0.003,12254.0,5261.0,1.0
k_pain[4],8.796,0.421,7.974,9.564,0.004,0.002,14362.0,5729.0,1.0
k_pain[5],0.363,0.325,0.0,0.947,0.003,0.002,7449.0,4002.0,1.0
k_pain[6],2.726,0.666,1.431,3.9,0.013,0.01,3565.0,1628.0,1.0
k_pain[7],2.256,0.825,0.558,3.671,0.013,0.009,4655.0,2719.0,1.0
k_pain[8],0.862,0.612,0.0,1.944,0.007,0.005,4994.0,2858.0,1.0
k_pain[9],5.568,0.447,4.725,6.392,0.004,0.003,14121.0,5385.0,1.0
k_pain[10],6.561,0.483,5.635,7.441,0.004,0.003,12663.0,5241.0,1.0
k_pain[11],0.697,0.515,0.0,1.626,0.006,0.004,5494.0,3844.0,1.0
k_pain[12],6.274,0.459,5.454,7.17,0.004,0.003,13663.0,4825.0,1.0
k_pain[13],2.825,0.602,1.661,3.925,0.007,0.005,8696.0,4207.0,1.0
k_pain[14],4.868,0.777,3.398,6.314,0.009,0.006,8831.0,4389.0,1.0
k_pain[15],0.404,0.345,0.0,1.043,0.003,0.002,7420.0,4280.0,1.0
k_pain[16],11.526,0.61,10.424,12.708,0.006,0.004,11511.0,5757.0,1.0
k_pain[17],3.639,0.582,2.549,4.713,0.006,0.005,9396.0,4231.0,1.0
k_pain[18],3.747,0.536,2.717,4.728,0.006,0.004,9562.0,4683.0,1.0
k_pain[19],8.063,0.467,7.184,8.94,0.004,0.003,13593.0,5319.0,1.0
k_pain[20],1.965,0.744,0.474,3.267,0.011,0.008,4711.0,2461.0,1.0
k_pain[21],7.779,0.499,6.82,8.728,0.004,0.003,13403.0,4883.0,1.0
k_pain[22],4.163,0.693,2.825,5.41,0.008,0.006,8575.0,4413.0,1.0
k_pain[23],4.815,0.49,3.907,5.735,0.005,0.003,11648.0,4511.0,1.0
k_pain[24],9.71,0.817,8.154,11.223,0.008,0.006,11251.0,5705.0,1.0
k_pain[25],5.351,0.472,4.447,6.206,0.004,0.003,12774.0,5082.0,1.0
k_pain[26],0.569,0.444,0.0,1.389,0.005,0.003,5863.0,3656.0,1.0
k_pain[27],8.685,0.451,7.849,9.541,0.004,0.003,11965.0,5215.0,1.0
k_pain[28],5.962,0.49,5.018,6.881,0.004,0.003,13401.0,5587.0,1.0
k_pain[29],34.747,4.412,26.482,42.876,0.047,0.034,9472.0,6035.0,1.0
k_pain[30],4.591,0.592,3.554,5.744,0.006,0.004,9726.0,5018.0,1.0
k_pain[31],1.87,0.802,0.267,3.246,0.012,0.008,4455.0,2320.0,1.0
k_pain[32],0.383,0.325,0.0,0.997,0.003,0.002,7059.0,4030.0,1.0
k_pain[33],8.027,0.489,7.114,8.959,0.004,0.003,15382.0,5284.0,1.0
k_pain[34],7.519,0.463,6.618,8.346,0.004,0.003,13785.0,5617.0,1.0
k_pain[35],5.998,0.51,5.072,6.974,0.004,0.003,13539.0,5139.0,1.0
k_pain[36],2.288,0.694,0.914,3.533,0.011,0.007,5014.0,2850.0,1.0
k_pain[37],5.009,0.461,4.107,5.818,0.004,0.003,13958.0,4934.0,1.0
k_pain[38],7.31,0.552,6.266,8.332,0.005,0.003,13898.0,5319.0,1.0
k_pain[39],9.168,0.615,8.019,10.335,0.005,0.004,13149.0,5587.0,1.0
k_pain[40],7.039,0.48,6.145,7.923,0.004,0.003,13825.0,5711.0,1.0
sv_pain[0],0.032,0.029,0.0,0.086,0.0,0.0,7991.0,4531.0,1.0
sv_pain[1],0.097,0.087,0.0,0.258,0.001,0.001,7991.0,4531.0,1.0
sv_pain[2],0.13,0.116,0.0,0.343,0.001,0.001,7991.0,4531.0,1.0
sv_pain[3],0.13,0.116,0.0,0.343,0.001,0.001,7991.0,4531.0,1.0
