,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_beta,46.875,1.723,43.648,50.019,0.018,0.012,9666.0,6939.0,1.0
beta_param[0],100.524,27.168,53.376,153.529,0.244,0.172,11567.0,6224.0,1.0
beta_param[1],133.263,28.195,81.958,187.134,0.29,0.205,8691.0,4876.0,1.0
beta_param[2],137.37,23.339,94.788,182.347,0.212,0.15,11686.0,5148.0,1.0
beta_param[3],125.54,21.039,87.378,165.564,0.192,0.138,11866.0,6124.0,1.0
beta_param[4],136.383,21.831,96.412,177.29,0.197,0.139,11907.0,6330.0,1.0
beta_param[5],61.528,16.617,31.965,93.515,0.176,0.124,7807.0,4666.0,1.0
beta_param[6],125.821,27.213,75.163,175.688,0.284,0.201,8441.0,4744.0,1.0
beta_param[7],109.549,24.764,63.26,156.322,0.269,0.19,7804.0,4161.0,1.0
beta_param[8],78.88,20.562,42.666,118.146,0.228,0.161,7480.0,5354.0,1.0
beta_param[9],163.385,26.876,114.192,213.905,0.247,0.175,11478.0,5349.0,1.0
beta_param[10],161.645,26.206,115.726,213.479,0.23,0.163,12652.0,6176.0,1.0
beta_param[11],79.135,20.548,40.305,115.264,0.206,0.146,8896.0,4604.0,1.0
beta_param[12],154.687,25.186,109.212,202.807,0.239,0.169,10822.0,5625.0,1.0
beta_param[13],144.619,29.085,91.153,199.143,0.296,0.209,9188.0,4739.0,1.0
beta_param[14],80.35,17.594,47.902,113.108,0.178,0.126,9160.0,5170.0,1.0
beta_param[15],99.898,26.714,52.317,149.959,0.259,0.183,9367.0,5295.0,1.0
beta_param[16],73.851,15.97,44.776,105.354,0.151,0.107,10843.0,5839.0,1.0
beta_param[17],133.638,25.887,84.02,180.847,0.251,0.177,10037.0,5570.0,1.0
beta_param[18],142.473,26.981,92.236,192.297,0.28,0.198,8865.0,5712.0,1.0
beta_param[19],132.714,21.183,96.046,175.265,0.193,0.137,11645.0,6091.0,1.0
beta_param[20],116.291,26.739,66.979,165.787,0.308,0.218,6630.0,3366.0,1.0
beta_param[21],123.281,20.447,85.667,162.216,0.183,0.13,12061.0,5493.0,1.0
beta_param[22],93.262,19.933,55.675,129.992,0.211,0.149,8402.0,4897.0,1.0
beta_param[23],142.754,25.76,91.67,188.747,0.239,0.169,11160.0,5076.0,1.0
beta_param[24],65.65,15.987,33.343,93.488,0.165,0.117,9198.0,4483.0,1.0
beta_param[25],161.106,26.738,109.966,210.254,0.268,0.189,9637.0,5517.0,1.0
beta_param[26],106.749,28.358,54.167,158.731,0.283,0.2,8926.0,5150.0,1.0
beta_param[27],130.961,21.545,91.264,170.872,0.201,0.142,11098.0,5035.0,1.0
beta_param[28],142.105,23.384,99.619,187.026,0.217,0.154,11307.0,6477.0,1.0
beta_param[29],1.136,1.36,0.0,3.384,0.014,0.011,7613.0,4804.0,1.0
beta_param[30],117.502,22.375,76.796,160.732,0.219,0.155,10091.0,5620.0,1.0
beta_param[31],101.125,24.057,56.59,145.517,0.264,0.187,7549.0,4949.0,1.0
beta_param[32],99.725,26.871,51.581,150.083,0.276,0.195,8605.0,5857.0,1.0
beta_param[33],139.478,23.115,97.394,183.818,0.207,0.147,12267.0,5256.0,1.0
beta_param[34],122.598,21.343,81.964,161.484,0.195,0.138,11594.0,5592.0,1.0
beta_param[35],137.987,22.984,94.793,181.013,0.212,0.151,11542.0,5870.0,1.0
beta_param[36],126.518,28.642,76.509,182.884,0.296,0.209,8393.0,4385.0,1.0
beta_param[37],168.345,28.459,115.678,221.368,0.267,0.189,11143.0,6247.0,1.0
beta_param[38],101.727,18.661,66.247,135.754,0.173,0.122,11122.0,5044.0,1.0
beta_param[39],69.897,15.414,40.818,98.034,0.154,0.109,9521.0,5296.0,1.0
beta_param[40],131.191,21.843,91.238,172.91,0.206,0.146,11033.0,5386.0,1.0
sigmak,16.35,1.335,13.87,18.861,0.013,0.009,11207.0,7199.0,1.0
k_pain[0],0.271,0.342,0.0,0.89,0.003,0.003,7722.0,4636.0,1.0
k_pain[1],6.101,1.93,2.396,9.707,0.022,0.015,7662.0,4478.0,1.0
k_pain[2],18.336,3.629,11.525,25.073,0.033,0.023,11754.0,5947.0,1.0
k_pain[3],25.201,4.823,16.789,34.631,0.043,0.031,12202.0,5864.0,1.0
k_pain[4],39.647,6.321,28.136,51.684,0.057,0.04,11955.0,5798.0,1.0
k_pain[5],0.39,0.446,0.0,1.208,0.004,0.003,8091.0,4373.0,1.0
k_pain[6],5.337,1.825,1.904,8.733,0.02,0.014,8067.0,4256.0,1.0
k_pain[7],5.063,2.052,1.307,8.769,0.022,0.015,7880.0,4101.0,1.0
k_pain[8],1.447,1.044,0.01,3.342,0.011,0.008,7452.0,4673.0,1.0
k_pain[9],17.519,3.203,11.713,23.622,0.029,0.02,11780.0,4586.0,1.0
k_pain[10],27.148,4.499,18.611,35.627,0.041,0.029,11899.0,5498.0,1.0
k_pain[11],1.198,0.936,0.002,2.912,0.009,0.007,9012.0,4389.0,1.0
k_pain[12],20.602,3.838,13.562,27.852,0.037,0.026,10604.0,5860.0,1.0
k_pain[13],6.552,1.849,3.033,9.973,0.02,0.014,8737.0,4788.0,1.0
k_pain[14],9.772,3.763,2.845,16.589,0.039,0.027,8392.0,4713.0,1.0
k_pain[15],0.542,0.524,0.0,1.531,0.005,0.004,7666.0,4661.0,1.0
k_pain[16],48.069,10.091,29.57,67.326,0.1,0.071,9780.0,5899.0,1.0
k_pain[17],8.723,2.297,4.337,12.939,0.023,0.016,9558.0,5394.0,1.0
k_pain[18],8.518,2.143,4.698,12.684,0.022,0.015,9197.0,5014.0,1.0
k_pain[19],33.222,5.801,22.656,44.284,0.053,0.038,11848.0,5506.0,1.0
k_pain[20],4.051,1.679,0.991,7.119,0.019,0.013,6829.0,3359.0,1.0
k_pain[21],31.376,5.898,20.581,42.788,0.054,0.038,11547.0,4434.0,1.0
k_pain[22],7.806,2.838,2.571,13.139,0.03,0.021,8005.0,4390.0,1.0
k_pain[23],12.262,2.71,7.253,17.359,0.027,0.019,9891.0,5679.0,1.0
k_pain[24],38.623,9.637,20.488,56.275,0.1,0.071,8950.0,4460.0,1.0
k_pain[25],17.355,3.235,11.618,23.677,0.031,0.022,10374.0,5840.0,1.0
k_pain[26],1.21,0.872,0.01,2.767,0.008,0.006,9096.0,4948.0,1.0
k_pain[27],37.975,6.467,25.713,49.925,0.059,0.042,11675.0,5581.0,1.0
k_pain[28],19.933,3.776,13.428,27.489,0.034,0.024,11373.0,5193.0,1.0
k_pain[29],17.909,11.72,0.002,38.591,0.121,0.085,7020.0,3586.0,1.0
k_pain[30],10.735,2.899,5.25,16.125,0.03,0.021,9219.0,5105.0,1.0
k_pain[31],3.513,1.704,0.486,6.56,0.018,0.013,7320.0,4186.0,1.0
k_pain[32],0.523,0.515,0.0,1.47,0.005,0.004,7394.0,5453.0,1.0
k_pain[33],33.498,5.822,22.382,44.061,0.053,0.038,11626.0,5847.0,1.0
k_pain[34],26.746,5.141,17.544,36.663,0.049,0.035,10668.0,5726.0,1.0
k_pain[35],20.136,3.801,13.168,27.602,0.035,0.025,11797.0,5069.0,1.0
k_pain[36],4.342,1.697,1.274,7.546,0.018,0.013,8053.0,3670.0,1.0
k_pain[37],14.702,2.736,9.651,19.833,0.025,0.018,11547.0,5889.0,1.0
k_pain[38],23.04,5.381,13.535,33.715,0.051,0.036,10782.0,4982.0,1.0
k_pain[39],29.695,7.964,15.161,44.887,0.078,0.055,9795.0,4637.0,1.0
k_pain[40],25.313,4.794,16.481,34.347,0.044,0.031,11255.0,5595.0,1.0
sv_pain[0],-4.492,1.635,-7.571,-1.92,0.021,0.016,7722.0,4636.0,1.0
sv_pain[1],-3.393,1.635,-6.473,-0.821,0.021,0.017,7722.0,4636.0,1.0
sv_pain[2],-3.106,1.635,-6.185,-0.534,0.021,0.017,7722.0,4636.0,1.0
sv_pain[3],-3.106,1.635,-6.185,-0.534,0.021,0.017,7722.0,4636.0,1.0
sv_pain[4],-3.106,1.635,-6.185,-0.534,0.021,0.017,7722.0,4636.0,1.0
sv_pain[5],-3.799,1.635,-6.878,-1.227,0.021,0.017,7722.0,4636.0,1.0
sv_pain[6],-3.393,1.635,-6.473,-0.821,0.021,0.017,7722.0,4636.0,1.0
sv_pain[7],-3.799,1.635,-6.878,-1.227,0.021,0.017,7722.0,4636.0,1.0
sv_pain[8],-3.106,1.635,-6.185,-0.534,0.021,0.017,7722.0,4636.0,1.0
sv_pain[9],-4.492,1.635,-7.571,-1.92,0.021,0.016,7722.0,4636.0,1.0
sv_pain[10],-2.883,1.635,-5.962,-0.311,0.021,0.017,7722.0,4636.0,1.0
sv_pain[11],-3.799,1.635,-6.878,-1.227,0.021,0.017,7722.0,4636.0,1.0
sv_pain[12],-4.492,1.635,-7.571,-1.92,0.021,0.016,7722.0,4636.0,1.0
sv_pain[13],-2.883,1.635,-5.962,-0.311,0.021,0.017,7722.0,4636.0,1.0
sv_pain[14],-3.393,1.635,-6.473,-0.821,0.021,0.017,7722.0,4636.0,1.0
sv_pain[15],-3.799,1.635,-6.878,-1.227,0.021,0.017,7722.0,4636.0,1.0
sv_pain[16],-4.492,1.635,-7.571,-1.92,0.021,0.016,7722.0,4636.0,1.0
sv_pain[17],-4.492,1.635,-7.571,-1.92,0.021,0.016,7722.0,4636.0,1.0
sv_pain[18],-3.393,1.635,-6.473,-0.821,0.021,0.017,7722.0,4636.0,1.0
sv_pain[19],-2.883,1.635,-5.962,-0.311,0.021,0.017,7722.0,4636.0,1.0
sv_pain[20],-3.393,1.635,-6.473,-0.821,0.021,0.017,7722.0,4636.0,1.0
sv_pain[21],-3.106,1.635,-6.185,-0.534,0.021,0.017,7722.0,4636.0,1.0
sv_pain[22],-2.883,1.635,-5.962,-0.311,0.021,0.017,7722.0,4636.0,1.0
sv_pain[23],-3.799,1.635,-6.878,-1.227,0.021,0.017,7722.0,4636.0,1.0
sv_pain[24],-3.799,1.635,-6.878,-1.227,0.021,0.017,7722.0,4636.0,1.0
sv_pain[25],-4.492,1.635,-7.571,-1.92,0.021,0.016,7722.0,4636.0,1.0
sv_pain[26],-2.883,1.635,-5.962,-0.311,0.021,0.017,7722.0,4636.0,1.0
sv_pain[27],-3.393,1.635,-6.473,-0.821,0.021,0.017,7722.0,4636.0,1.0
sv_pain[28],-3.393,1.635,-6.473,-0.821,0.021,0.017,7722.0,4636.0,1.0
sv_pain[29],-3.106,1.635,-6.185,-0.534,0.021,0.017,7722.0,4636.0,1.0
sv_pain[30],-2.883,1.635,-5.962,-0.311,0.021,0.017,7722.0,4636.0,1.0
sv_pain[31],-4.492,1.635,-7.571,-1.92,0.021,0.016,7722.0,4636.0,1.0
sv_pain[32],-3.106,1.635,-6.185,-0.534,0.021,0.017,7722.0,4636.0,1.0
sv_pain[33],-3.106,1.635,-6.185,-0.534,0.021,0.017,7722.0,4636.0,1.0
sv_pain[34],-4.492,1.635,-7.571,-1.92,0.021,0.016,7722.0,4636.0,1.0
sv_pain[35],-3.393,1.635,-6.473,-0.821,0.021,0.017,7722.0,4636.0,1.0
sv_pain[36],-2.883,1.635,-5.962,-0.311,0.021,0.017,7722.0,4636.0,1.0
sv_pain[37],-3.799,1.635,-6.878,-1.227,0.021,0.017,7722.0,4636.0,1.0
sv_pain[38],-3.799,1.635,-6.878,-1.227,0.021,0.017,7722.0,4636.0,1.0
sv_pain[39],-3.106,1.635,-6.185,-0.534,0.021,0.017,7722.0,4636.0,1.0
sv_pain[40],-3.393,1.635,-6.473,-0.821,0.021,0.017,7722.0,4636.0,1.0
sv_pain[41],-3.106,1.635,-6.185,-0.534,0.021,0.017,7722.0,4636.0,1.0
sv_pain[42],-3.393,1.635,-6.473,-0.821,0.021,0.017,7722.0,4636.0,1.0
sv_pain[43],-3.799,1.635,-6.878,-1.227,0.021,0.017,7722.0,4636.0,1.0
sv_pain[44],-4.492,1.635,-7.571,-1.92,0.021,0.016,7722.0,4636.0,1.0
sv_pain[45],-2.883,1.635,-5.962,-0.311,0.021,0.017,7722.0,4636.0,1.0
sv_pain[46],-4.492,1.635,-7.571,-1.92,0.021,0.016,7722.0,4636.0,1.0
sv_pain[47],-2.883,1.635,-5.962,-0.311,0.021,0.017,7722.0,4636.0,1.0
sv_pain[48],-3.393,1.635,-6.473,-0.821,0.021,0.017,7722.0,4636.0,1.0
sv_pain[49],-3.106,1.635,-6.185,-0.534,0.021,0.017,7722.0,4636.0,1.0
sv_pain[50],-3.799,1.635,-6.878,-1.227,0.021,0.017,7722.0,4636.0,1.0
sv_pain[51],-3.799,1.635,-6.878,-1.227,0.021,0.017,7722.0,4636.0,1.0
sv_pain[52],-3.799,1.635,-6.878,-1.227,0.021,0.017,7722.0,4636.0,1.0
sv_pain[53],-3.106,1.635,-6.185,-0.534,0.021,0.017,7722.0,4636.0,1.0
sv_pain[54],-4.492,1.635,-7.571,-1.92,0.021,0.016,7722.0,4636.0,1.0
sv_pain[55],-4.492,1.635,-7.571,-1.92,0.021,0.016,7722.0,4636.0,1.0
sv_pain[56],-4.492,1.635,-7.571,-1.92,0.021,0.016,7722.0,4636.0,1.0
sv_pain[57],-3.393,1.635,-6.473,-0.821,0.021,0.017,7722.0,4636.0,1.0
sv_pain[58],-2.883,1.635,-5.962,-0.311,0.021,0.017,7722.0,4636.0,1.0
sv_pain[59],-3.799,1.635,-6.878,-1.227,0.021,0.017,7722.0,4636.0,1.0
sv_pain[60],-3.799,1.635,-6.878,-1.227,0.021,0.017,7722.0,4636.0,1.0
sv_pain[61],-3.106,1.635,-6.185,-0.534,0.021,0.017,7722.0,4636.0,1.0
