,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_param[sub-004],45.807,31.221,3.42,94.18,13.833,10.404,6.0,14.0,3.31
beta_param[sub-005],32.935,15.537,4.954,51.455,6.756,5.068,6.0,11.0,2.58
beta_param[sub-006],15.572,15.901,0.717,43.043,6.934,5.204,6.0,15.0,3.15
beta_param[sub-007],8.141,6.8,0.291,16.23,3.006,2.26,6.0,11.0,3.18
beta_param[sub-008],69.858,37.043,8.839,126.058,16.492,12.411,5.0,11.0,4.41
beta_param[sub-009],22.213,33.331,1.04,93.74,14.798,11.132,6.0,22.0,3.65
beta_param[sub-010],45.452,34.264,0.46,76.295,15.288,11.509,5.0,13.0,4.03
beta_param[sub-011],20.942,36.929,0.523,100.613,16.339,12.286,5.0,12.0,3.88
beta_param[sub-012],28.681,23.069,0.779,57.853,10.058,7.549,7.0,30.0,2.01
beta_param[sub-013],31.901,16.704,4.328,51.609,7.386,5.553,6.0,14.0,3.0
beta_param[sub-014],70.505,34.937,2.522,109.093,15.586,11.733,5.0,12.0,3.46
beta_param[sub-015],36.043,16.587,6.91,53.486,7.223,5.42,6.0,14.0,2.64
beta_param[sub-016],45.664,36.18,3.019,94.75,16.032,12.058,6.0,22.0,2.95
beta_param[sub-017],14.303,16.252,0.421,37.484,7.262,5.468,5.0,11.0,3.78
beta_param[sub-019],4.516,4.134,0.732,11.475,1.836,1.381,6.0,13.0,3.64
beta_param[sub-020],33.336,29.577,0.589,81.094,12.786,9.585,6.0,14.0,3.21
beta_param[sub-021],40.044,30.303,2.631,69.534,13.538,10.193,5.0,16.0,3.59
beta_param[sub-022],17.865,9.632,1.387,31.298,4.28,3.22,5.0,12.0,4.4
beta_param[sub-023],61.308,35.784,1.982,96.637,15.742,11.828,7.0,13.0,2.16
beta_param[sub-024],12.852,14.754,0.339,34.958,6.527,4.908,6.0,16.0,2.99
beta_param[sub-026],23.063,25.785,0.258,58.153,11.473,8.633,6.0,26.0,2.56
beta_param[sub-027],37.38,29.475,1.211,65.819,13.111,9.866,6.0,12.0,3.08
beta_param[sub-029],10.196,6.1,0.307,19.015,2.487,1.852,7.0,23.0,2.04
beta_param[sub-030],45.84,23.37,2.022,71.152,10.26,7.707,6.0,17.0,2.19
beta_param[sub-032],87.079,42.544,6.531,137.218,18.857,14.182,6.0,13.0,3.04
beta_param[sub-033],10.805,11.904,0.592,28.374,5.263,3.957,6.0,12.0,3.07
beta_param[sub-034],28.426,21.153,3.513,60.298,9.416,7.086,5.0,13.0,3.81
beta_param[sub-035],0.817,0.594,0.001,1.666,0.245,0.182,6.0,14.0,2.29
beta_param[sub-037],44.202,23.26,0.653,66.857,10.331,7.773,6.0,12.0,3.01
beta_param[sub-038],68.66,35.507,0.404,101.964,15.621,11.737,7.0,28.0,2.13
beta_param[sub-041],9.319,8.065,1.027,22.178,3.444,2.578,6.0,14.0,2.97
beta_param[sub-042],15.166,14.156,0.467,39.434,6.218,4.671,5.0,11.0,3.48
beta_param[sub-043],31.747,16.492,3.49,51.483,7.168,5.378,6.0,16.0,2.49
beta_param[sub-044],40.36,41.807,1.851,103.631,18.642,14.032,6.0,18.0,3.92
beta_param[sub-045],24.371,28.246,0.665,72.543,12.514,9.411,6.0,26.0,3.42
beta_param[sub-047],21.478,12.273,0.798,38.92,5.322,3.991,6.0,11.0,3.11
beta_param[sub-048],9.73,7.891,1.146,23.317,3.481,2.617,6.0,20.0,3.28
beta_param[sub-050],29.836,13.688,2.882,39.808,6.082,4.576,6.0,25.0,2.31
k_pain[sub-004],1.328,0.651,0.5,2.38,0.287,0.216,5.0,14.0,3.63
k_pain[sub-005],1.891,0.778,1.001,2.958,0.348,0.262,5.0,16.0,3.66
