,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_param[sub-004],143.399,26.669,94.723,193.399,0.195,0.138,17803.0,15284.0,1.0
beta_param[sub-005],142.774,23.536,100.304,187.826,0.134,0.094,30152.0,18091.0,1.0
beta_param[sub-006],134.552,21.317,96.08,175.808,0.117,0.083,32730.0,17151.0,1.0
beta_param[sub-007],157.147,24.306,113.285,204.186,0.161,0.114,22287.0,16345.0,1.0
beta_param[sub-008],115.143,18.5,81.049,149.362,0.109,0.078,28632.0,18437.0,1.0
beta_param[sub-009],136.094,25.338,89.335,183.099,0.187,0.132,17263.0,15622.0,1.0
beta_param[sub-010],125.302,23.543,82.589,169.402,0.169,0.12,18354.0,16563.0,1.0
beta_param[sub-011],111.705,19.151,76.778,147.804,0.12,0.086,25415.0,19081.0,1.0
beta_param[sub-012],168.808,27.082,120.012,220.76,0.178,0.126,22522.0,16783.0,1.0
beta_param[sub-013],170.864,26.026,122.907,220.256,0.168,0.119,23965.0,18551.0,1.0
beta_param[sub-014],120.608,19.995,84.111,158.27,0.131,0.093,23083.0,19222.0,1.0
beta_param[sub-015],162.419,25.727,114.142,210.781,0.157,0.111,26458.0,17233.0,1.0
beta_param[sub-016],155.147,28.713,102.523,209.569,0.208,0.147,18203.0,14890.0,1.0
beta_param[sub-017],87.626,17.823,54.895,121.144,0.139,0.098,15408.0,12517.0,1.0
beta_param[sub-019],106.591,17.793,74.948,141.145,0.11,0.078,25450.0,15780.0,1.0
beta_param[sub-020],139.638,25.565,90.94,186.172,0.201,0.142,15271.0,11291.0,1.0
beta_param[sub-021],147.341,26.512,99.269,198.345,0.194,0.137,17287.0,11255.0,1.0
beta_param[sub-022],146.818,22.499,104.037,188.13,0.146,0.103,23127.0,17108.0,1.0
beta_param[sub-023],133.793,24.838,88.457,180.203,0.164,0.116,22072.0,18415.0,1.0
beta_param[sub-024],134.932,21.395,95.561,174.903,0.128,0.091,27160.0,17980.0,1.0
beta_param[sub-026],99.721,19.313,65.25,137.12,0.16,0.113,13806.0,12401.0,1.0
beta_param[sub-027],147.237,25.307,100.683,195.067,0.177,0.125,19728.0,15951.0,1.0
beta_param[sub-029],81.66,15.677,52.445,110.974,0.104,0.074,21801.0,14343.0,1.0
beta_param[sub-030],166.893,26.873,116.861,217.237,0.176,0.124,23027.0,17620.0,1.0
beta_param[sub-032],158.637,26.724,108.581,208.105,0.169,0.119,24451.0,18230.0,1.0
beta_param[sub-033],149.818,23.308,108.176,194.598,0.143,0.101,26175.0,17256.0,1.0
beta_param[sub-034],148.447,24.09,104.909,194.853,0.148,0.105,25621.0,16998.0,1.0
beta_param[sub-035],74.275,12.249,50.622,96.635,0.073,0.052,27143.0,16631.0,1.0
beta_param[sub-037],122.03,22.139,81.091,163.017,0.162,0.115,17817.0,14767.0,1.0
beta_param[sub-038],119.773,22.002,79.449,160.695,0.146,0.103,22086.0,18037.0,1.0
beta_param[sub-041],152.213,23.385,109.061,196.203,0.136,0.096,29029.0,17654.0,1.0
beta_param[sub-042],135.132,21.306,96.251,176.248,0.126,0.089,27680.0,16725.0,1.0
beta_param[sub-043],142.434,23.16,99.436,186.502,0.14,0.099,26571.0,17603.0,1.0
beta_param[sub-044],141.911,26.226,96.13,193.299,0.184,0.13,19416.0,17134.0,1.0
beta_param[sub-045],171.645,27.931,118.96,223.431,0.182,0.129,23020.0,15863.0,1.0
beta_param[sub-047],111.378,18.837,76.503,147.0,0.12,0.085,24126.0,17116.0,1.0
beta_param[sub-048],86.697,15.818,57.121,116.718,0.102,0.072,23179.0,15298.0,1.0
beta_param[sub-050],141.736,22.586,99.383,183.116,0.145,0.103,23604.0,16611.0,1.0
k_pain[sub-004],2.457,1.254,0.207,4.691,0.009,0.006,14517.0,7632.0,1.0
k_pain[sub-005],11.525,2.263,7.327,15.795,0.013,0.009,29845.0,14634.0,1.0
k_pain[sub-006],16.627,2.731,11.606,21.832,0.018,0.013,22496.0,13862.0,1.0
k_pain[sub-007],25.851,3.012,20.436,31.725,0.018,0.013,28517.0,17241.0,1.0
