Model,DIC
r15,3091.3429467931423
r14,3236.1663727243617
r13,3371.409198428187
r26,40563.91775829181
r24,4337.88614784297
r21,4370.752490397124
r10,4540.290160654261
r12,4557.144564373733
r22,4568.928952311154
r20,4598.162961579812
r18,4600.064511795317
r9,4603.4840849352
r11,4622.047223270306
r4,4729.351107375276
r3,4786.462766596784
r19,4867.056586680269
r16,5142.6368392316035
r17,5407.818627396996
r2,5451.156387649554
r1,5451.738110338769
r23,5535.756112296724
r7,5548.591273836031
r8,5552.199207223823
r5,5564.590301284466
r6,5567.3340354459715
r0,5567.9885202430205
