,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.5905261637026287,0.061636814408931755,1.47752126729614,1.5479547939457152,1.5882113752406364,1.630920434687801,1.7204905639367476,0.002071103631733984
a_std,0.30488772405110987,0.05577175398518249,0.2171002490052837,0.2652920117400376,0.29735060077922243,0.3355646886098211,0.4353350457068754,0.002632757347341001
a_subj.sub-004,1.8692905365184593,0.11981034807900096,1.6542403005728705,1.7857121280710104,1.8603504708679786,1.9484987449897173,2.122708218039045,0.004266304060828607
a_subj.sub-005,1.691105762260468,0.0878579161878329,1.5266095542553124,1.6308854368631351,1.6899630352533463,1.7486246471576379,1.867787363462208,0.0025302762206462163
a_subj.sub-006,1.7527831870651305,0.08670436373533563,1.5928727183483764,1.69130813690035,1.7510119136053555,1.8093485545300076,1.9293665333584742,0.0023821032615627936
a_subj.sub-007,1.4241849115196616,0.07209125360926609,1.2896619200507358,1.3743419377378623,1.4222997704527731,1.47059966324471,1.5684829001284122,0.002314189772913238
a_subj.sub-008,1.4228570894595756,0.1572819832192903,1.1567587060660325,1.3112123662109763,1.407064731406616,1.514661914280949,1.7751486466908457,0.005916138358398478
a_subj.sub-009,1.5809928919401208,0.10158817044318993,1.3946941725368451,1.5121810596693295,1.5776259405610533,1.6459929252940468,1.7964275478231413,0.002583731554479897
a_subj.sub-010,1.4937434936395682,0.10201327767830788,1.3050692574360054,1.4225748427569151,1.4889114339479603,1.561956787205355,1.7073895147057592,0.0032626472386822593
a_subj.sub-011,2.343068821185316,0.18891358779632775,2.0269730251746445,2.212344210258288,2.3297511301314753,2.4565396590002258,2.736674389963937,0.009393677510211137
a_subj.sub-012,1.185873391098571,0.06566058169804814,1.063484726955588,1.1388325905166,1.1830458424811725,1.2298806875258135,1.3187913782279317,0.001837592854223279
a_subj.sub-013,1.482696845862897,0.07576284230512635,1.3434553631725044,1.4310064111381533,1.4803280223315076,1.530806641286957,1.6445735494544877,0.0023530058930252232
a_subj.sub-014,1.743746623537795,0.15084556261993204,1.4866006061224564,1.642899900748587,1.7300875113651737,1.8313008487340996,2.073796308370069,0.005475993510366095
a_subj.sub-015,1.7862967663080056,0.09722160817104451,1.6037092103294648,1.7171988716616804,1.787031788086759,1.8503051501858427,1.9776747891468534,0.0029923503721127434
a_subj.sub-016,1.507822312992867,0.10423852266573094,1.311512515007429,1.4378835545249546,1.5051353321980516,1.5768422714775379,1.715765654916824,0.003132076713653293
a_subj.sub-017,1.6887938278635026,0.09416263863233991,1.5047279775453295,1.6230428716671925,1.6848017537883182,1.752176055058356,1.8790039109714873,0.0031659450361794855
a_subj.sub-019,1.308370331104714,0.06910813978731561,1.1837975477514728,1.260166061970183,1.3047550486121215,1.3521158091939145,1.4522509800040573,0.0023612197810593547
a_subj.sub-020,1.554975652718787,0.09158349248741145,1.3858440814845563,1.4935341762542218,1.5530648214124485,1.6141200280470542,1.7416617266655359,0.0030413988558876523
a_subj.sub-022,1.3064223276157987,0.06770485144706191,1.182344996405774,1.258268924055467,1.3019065078445995,1.3519262323714054,1.4454899453335353,0.002030456762398351
a_subj.sub-023,1.9238887719885447,0.12715222123168263,1.6987750102897516,1.8345896138997366,1.9197184686241564,2.003567475543518,2.1945753418987355,0.003785244547878664
a_subj.sub-024,1.1566115185314876,0.0590596684995661,1.045902553159936,1.1153489900141011,1.1546273017527002,1.1957604011390437,1.276983367094344,0.0019295211887961714
a_subj.sub-026,1.2609764180964016,0.07248777444139963,1.124158238855213,1.211554146491335,1.2590978704863145,1.3085404376425303,1.409787688960869,0.0020771289989719513
a_subj.sub-027,1.6899521779032176,0.09191422533744678,1.528364054166222,1.626573018453936,1.683815602735314,1.7475570382720995,1.8818120553275257,0.0031350453495032687
a_subj.sub-030,1.432633647972647,0.07788608209812639,1.290028164963247,1.3793678252398258,1.4305852564328287,1.4839682553500517,1.5884763123754124,0.002292052734576573
