,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,3.7916975350261266,0.4097117910016391,3.085813970125628,3.5018729167322924,3.7530846894669114,4.049384984983425,4.685024041372614,0.0344916566618118
a_std,1.0589392119178527,0.2500076138371301,0.6518200440753573,0.8780203263679036,1.0248438719524824,1.2124033419521265,1.6339741840716608,0.01771149959315649
a_subj.sub-004,4.355982109937372,0.7455514942581064,3.0903952174773237,3.819216679074077,4.298158087418921,4.838725959605124,5.9617230476114065,0.0540745387093447
a_subj.sub-005,3.9016343640978013,0.6483888465689015,2.8308667843649498,3.453457330153917,3.8298002232075694,4.288638299757842,5.4262640571823555,0.04300805298558468
a_subj.sub-006,3.9276440340728587,0.7672509488572624,2.718202305850452,3.3858314518953194,3.832276408983642,4.3521644336271805,5.775142970893305,0.05492881961411761
a_subj.sub-007,4.924419087452056,0.929135597456184,3.3109611900329843,4.30874199660303,4.856214752587562,5.473707695054679,7.004587731665634,0.06551750917739575
a_subj.sub-008,2.7749358077132977,0.4722438786434164,2.005809758289138,2.4260433851477368,2.716873936289055,3.071273577608838,3.8813492702512042,0.03546069270727274
a_subj.sub-009,2.4865887942031937,0.36446833426335484,1.9247609525763643,2.2361567845785744,2.4305408187122355,2.6890646276810775,3.328566461170748,0.022627681166618844
a_subj.sub-010,2.278582801889835,0.3364209497146539,1.7560021608102718,2.0345023416954473,2.2319587400816676,2.480167675206695,3.02786691583458,0.018850476717829526
a_subj.sub-011,5.122318603910009,0.829357343289434,3.694957887265306,4.519854470487855,5.055877531773194,5.65877463691473,6.886260859191902,0.06241930275235893
a_subj.sub-012,2.164636357537638,0.30710823238084073,1.665590809471578,1.9492710391596275,2.1290229846088415,2.3418963194903633,2.8994404776067384,0.016945581635298915
a_subj.sub-013,3.2057736865766713,0.5757206313631509,2.2593993582035985,2.771864843864311,3.156126878683555,3.572234194966849,4.469544806838522,0.03712114749183294
a_subj.sub-014,3.575229315322854,0.5300495993165848,2.7313538230545094,3.1787992939459717,3.5030334279852178,3.9068212125582136,4.755876289836095,0.03684965151820552
a_subj.sub-015,4.833568449570436,0.9015918077733099,3.332675488820608,4.161791809507195,4.781099838386609,5.43792547502743,6.742821241066561,0.06598037373427146
a_subj.sub-016,3.34540940691859,0.6785713011992334,2.2562381955430055,2.8688552425921188,3.262080404318251,3.7127129103379075,4.97671276304396,0.05061549479309797
a_subj.sub-017,5.050321548805804,1.0725008869529755,3.3037899845236196,4.3546079641197,4.932534030320062,5.60032197174119,7.670906182458115,0.08731355409177304
a_subj.sub-019,4.050651310328404,1.0099770615904107,2.5356464314415668,3.3085862793444836,3.913090694777151,4.577924667513109,6.564923312772198,0.0771510410074198
a_subj.sub-020,4.618591991005465,0.7834395118662308,3.2918952571402005,4.096025024062207,4.532100259398722,5.050464375956029,6.423898306508216,0.05841974091566925
a_subj.sub-022,3.9557709397558325,0.7940594188474248,2.6314681294982414,3.4056181256363094,3.8665169985524717,4.3877822052675,5.96912375912528,0.05783235097721723
a_subj.sub-023,3.6379415878517087,0.6163378140310125,2.6362241469857497,3.2211723710948004,3.561847423570274,3.9771868355006936,5.073463729427209,0.04113804789797139
a_subj.sub-024,3.461137116422493,0.6831104346127326,2.4319459579612777,2.9902203139030883,3.361986076260018,3.7924478836615596,5.253371193814394,0.05269756523779575
a_subj.sub-026,3.2355791265588603,0.5645640379016105,2.3015269806876324,2.820835058895937,3.184481505732699,3.57734305305854,4.500908944520005,0.04027805811192984
a_subj.sub-027,3.9255024565094403,0.6443242169273224,2.8723917466235926,3.4685371170781094,3.8477647580918832,4.306687227534783,5.424981549932792,0.046248199832226736
