participant;painstim;moneystim;all_trials_rewards;painlevel;painlevel_J;leftstim;rightstim;acceptside;acceptkey;accepted;choice_resp.keys;choice_resp.rt;blocks.thisRepN;trials.thisN;TaskName;P1;P2;P3;P4;P5;fail_ma;fixduration;moneylevel
sub-002;p2;m2;;2.0;30500.0;stimuli/p2.png;stimuli/m2.png;right;m;0.0;;;0.0;0.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.5;2.0
sub-002;p1;m2;;1.0;20500.0;stimuli/m2.png;stimuli/p1.png;right;m;1.0;m;1.3291009999993548;0.0;1.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.8;2.0
sub-002;p3;m2;;3.0;41500.0;stimuli/p3.png;stimuli/m2.png;right;m;1.0;m;0.91960889999973;0.0;2.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.5;2.0
sub-002;p4;m4;;4.0;53000.0;stimuli/p4.png;stimuli/m4.png;right;m;1.0;m;0.9543577000004008;0.0;3.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.9;4.0
sub-002;p4;m2;;4.0;53000.0;stimuli/p4.png;stimuli/m2.png;right;m;1.0;m;1.3423058999997008;0.0;4.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.6;2.0
sub-002;p4;m3;;4.0;53000.0;stimuli/p4.png;stimuli/m3.png;right;m;1.0;m;0.8743370000011055;0.0;5.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.7;3.0
sub-002;p2;m3;;2.0;30500.0;stimuli/p2.png;stimuli/m3.png;right;m;1.0;m;0.9069684000005508;0.0;6.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;2.0;3.0
sub-002;p3;m5;;3.0;41500.0;stimuli/p3.png;stimuli/m5.png;right;m;1.0;m;0.9792395000004036;0.0;7.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.7;5.0
sub-002;p5;m1;;5.0;66000.0;stimuli/m1.png;stimuli/p5.png;right;m;0.0;;;0.0;8.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;2.0;1.0
sub-002;p2;m4;;2.0;30500.0;stimuli/p2.png;stimuli/m4.png;right;m;1.0;m;0.6974529000017355;0.0;9.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.5;4.0
sub-002;p4;m5;;4.0;53000.0;stimuli/m5.png;stimuli/p4.png;right;m;1.0;m;0.8919903000005434;0.0;10.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;2.0;5.0
sub-002;p1;m1;;1.0;20500.0;stimuli/p1.png;stimuli/m1.png;right;m;1.0;m;0.7937033999987761;0.0;11.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.6;1.0
sub-002;p5;m4;;5.0;66000.0;stimuli/m4.png;stimuli/p5.png;right;m;1.0;m;0.9585715000011988;0.0;12.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.5;4.0
