participant,painstim,moneystim,all_trials_rewards,painlevel,painlevel_J,leftstim,rightstim,acceptside,acceptkey,accepted,choice_resp.keys,choice_resp.rt,blocks.thisRepN,trials.thisN,TaskName,P1,P2,P3,P4,P5,fail_ma,fixduration,moneylevel,rt,response,subj_idx,acceptance_pair,OV_value,Abs_value,OV_Money_Pain,Abs_Money_Pain,fixduration,moneylevel,sv_money,sv_pain,sv_both,p_pain_all
sub-002,p1,m2,,1,20500.0,stimuli/m2.png,stimuli/p1.png,right,m,1.0,m,1.3291009999993548,0.0,1.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.8,2,1.3291009999993548,1.0,sub-002,M,low_OV,low_abs,low_OV_h_money,low_abs_h_money,1.8,2,2,0.2333333333333325,-1.766666666666667,1.0
sub-002,p3,m2,,3,41500.0,stimuli/p3.png,stimuli/m2.png,right,m,1.0,m,0.91960889999973,0.0,2.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.5,2,0.91960889999973,1.0,sub-002,P,low_OV,low_abs,low_OV_h_pain,low_abs_h_pain,1.5,2,2,0.6999999999999974,-1.300000000000002,1.0
sub-002,p4,m4,,4,53000.0,stimuli/p4.png,stimuli/m4.png,right,m,1.0,m,0.9543577000004008,0.0,3.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.9,4,0.9543577000004008,1.0,sub-002,I,high_OV,low_abs,h_OV_h_pain,low_abs_h_pain,1.9,4,4,0.9333333333333299,-3.06666666666667,1.0
sub-002,p4,m2,,4,53000.0,stimuli/p4.png,stimuli/m2.png,right,m,1.0,m,1.3423058999997008,0.0,4.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.6,2,1.3423058999997008,1.0,sub-002,P,high_OV,mid_abs,h_OV_h_pain,mid_abs,1.6,2,2,0.9333333333333299,-1.06666666666667,1.0
sub-002,p4,m3,,4,53000.0,stimuli/p4.png,stimuli/m3.png,right,m,1.0,m,0.8743370000011055,0.0,5.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.7,3,0.8743370000011055,1.0,sub-002,P,high_OV,low_abs,h_OV_h_pain,low_abs_h_pain,1.7,3,3,0.9333333333333299,-2.06666666666667,1.0
sub-002,p2,m3,,2,30500.0,stimuli/p2.png,stimuli/m3.png,right,m,1.0,m,0.9069684000005508,0.0,6.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,2.0,3,0.9069684000005508,1.0,sub-002,M,low_OV,low_abs,low_OV_h_money,low_abs_h_money,2.0,3,3,0.466666666666665,-2.533333333333335,1.0
sub-002,p3,m5,,3,41500.0,stimuli/p3.png,stimuli/m5.png,right,m,1.0,m,0.9792395000004036,0.0,7.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.7,5,0.9792395000004036,1.0,sub-002,M,high_OV,mid_abs,h_OV_h_money,mid_abs,1.7,5,5,0.6999999999999974,-4.300000000000002,1.0
sub-002,p2,m4,,2,30500.0,stimuli/p2.png,stimuli/m4.png,right,m,1.0,m,0.6974529000017355,0.0,9.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.5,4,0.6974529000017355,1.0,sub-002,M,high_OV,mid_abs,h_OV_h_money,mid_abs,1.5,4,4,0.466666666666665,-3.533333333333335,1.0
sub-002,p4,m5,,4,53000.0,stimuli/m5.png,stimuli/p4.png,right,m,1.0,m,0.8919903000005434,0.0,10.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,2.0,5,0.8919903000005434,1.0,sub-002,M,high_OV,low_abs,h_OV_h_money,low_abs_h_money,2.0,5,5,0.9333333333333299,-4.06666666666667,1.0
sub-002,p1,m1,,1,20500.0,stimuli/p1.png,stimuli/m1.png,right,m,1.0,m,0.7937033999987761,0.0,11.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.6,1,0.7937033999987761,1.0,sub-002,I,low_OV,low_abs,low_OV_h_pain,low_abs_h_pain,1.6,1,1,0.2333333333333325,-0.7666666666666675,1.0
