,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_beta,53.31,1.728,50.082,56.488,0.02,0.014,7521.0,5986.0,1.0
beta_param[0],177.062,29.745,122.097,231.735,0.289,0.208,10564.0,5739.0,1.0
beta_param[1],164.088,27.917,111.355,215.716,0.322,0.228,7239.0,5248.0,1.0
beta_param[2],163.315,26.123,115.169,212.322,0.262,0.185,9757.0,5824.0,1.0
beta_param[3],157.048,25.761,109.752,205.971,0.272,0.192,8718.0,5406.0,1.0
beta_param[4],176.583,28.752,125.26,232.888,0.314,0.222,8170.0,5247.0,1.0
beta_param[5],114.547,18.47,80.782,149.474,0.175,0.126,11123.0,6110.0,1.0
beta_param[6],172.537,30.2,119.723,232.809,0.309,0.219,9295.0,5818.0,1.0
beta_param[7],134.515,24.289,90.949,180.664,0.268,0.19,7861.0,5687.0,1.0
beta_param[8],118.712,21.344,79.663,158.272,0.258,0.183,6744.0,5797.0,1.0
beta_param[9],187.03,30.096,127.808,240.795,0.321,0.231,8799.0,6235.0,1.0
beta_param[10],137.89,22.624,96.533,179.403,0.226,0.161,9897.0,6271.0,1.0
beta_param[11],125.347,21.589,84.695,165.126,0.237,0.169,8213.0,5539.0,1.0
beta_param[12],193.413,31.153,136.934,252.623,0.315,0.223,9499.0,5629.0,1.0
beta_param[13],171.472,30.301,118.235,229.497,0.32,0.226,8665.0,5879.0,1.0
beta_param[14],113.22,19.723,78.738,151.312,0.201,0.142,9455.0,6129.0,1.0
beta_param[15],172.376,29.496,119.931,228.112,0.292,0.209,10061.0,5875.0,1.0
beta_param[16],170.74,29.874,113.329,224.429,0.305,0.216,9371.0,5391.0,1.0
beta_param[17],156.098,26.802,105.042,204.145,0.293,0.207,8161.0,6034.0,1.0
beta_param[18],184.37,30.415,127.859,241.953,0.313,0.221,9253.0,6108.0,1.0
beta_param[19],154.737,25.232,108.563,201.497,0.25,0.178,10109.0,5463.0,1.0
beta_param[20],153.214,28.003,101.675,206.192,0.373,0.264,5176.0,3825.0,1.0
beta_param[21],136.693,22.057,96.315,178.917,0.206,0.147,11305.0,5618.0,1.0
beta_param[22],134.088,22.756,91.622,176.7,0.238,0.168,8879.0,6104.0,1.0
beta_param[23],189.919,30.838,131.389,245.811,0.302,0.216,10292.0,5587.0,1.0
beta_param[24],74.353,13.235,49.572,99.393,0.133,0.094,9548.0,5023.0,1.0
beta_param[25],161.775,26.549,113.078,211.156,0.268,0.19,9582.0,5815.0,1.0
beta_param[26],164.94,28.635,111.395,217.121,0.29,0.207,9666.0,5628.0,1.0
beta_param[27],163.585,26.924,111.716,212.282,0.28,0.2,9250.0,6032.0,1.0
beta_param[28],148.041,24.207,105.13,194.877,0.252,0.179,9036.0,5598.0,1.0
beta_param[29],18.333,3.825,11.06,25.34,0.042,0.03,8053.0,5860.0,1.0
beta_param[30],149.504,24.805,102.501,195.251,0.264,0.189,8751.0,5657.0,1.0
beta_param[31],139.881,25.246,95.735,189.575,0.312,0.221,6273.0,4784.0,1.0
beta_param[32],172.135,29.513,118.191,227.318,0.294,0.209,9950.0,5647.0,1.0
beta_param[33],146.846,24.463,100.963,191.924,0.266,0.19,8425.0,6489.0,1.0
beta_param[34],179.613,28.285,125.206,230.865,0.3,0.212,8757.0,6201.0,1.0
beta_param[35],136.575,22.362,95.093,178.011,0.23,0.162,9308.0,5129.0,1.0
beta_param[36],175.308,31.822,118.754,236.5,0.377,0.266,6788.0,4277.0,1.0
beta_param[37],181.682,29.635,125.55,235.954,0.301,0.214,9522.0,5650.0,1.0
beta_param[38],141.87,22.717,98.529,182.934,0.238,0.168,8944.0,6147.0,1.0
beta_param[39],123.794,20.573,86.883,163.652,0.189,0.136,11597.0,5081.0,1.0
beta_param[40],168.516,27.577,119.091,222.091,0.276,0.195,9742.0,5484.0,1.0
sigmak,2.069,0.302,1.546,2.653,0.004,0.003,6823.0,4955.0,1.0
k_pain[0],0.083,0.072,0.0,0.218,0.001,0.001,7028.0,3987.0,1.0
k_pain[1],0.702,0.136,0.449,0.957,0.002,0.001,6650.0,3267.0,1.0
k_pain[2],1.424,0.123,1.199,1.665,0.001,0.001,9652.0,4807.0,1.0
k_pain[3],1.694,0.125,1.462,1.933,0.001,0.001,8809.0,5350.0,1.0
k_pain[4],2.126,0.129,1.89,2.371,0.001,0.001,9504.0,5557.0,1.0
k_pain[5],0.087,0.077,0.0,0.229,0.001,0.001,7262.0,3813.0,1.0
k_pain[6],0.745,0.129,0.503,0.988,0.002,0.001,8008.0,4108.0,1.0
k_pain[7],0.59,0.165,0.27,0.886,0.003,0.002,4799.0,2533.0,1.0
k_pain[8],0.292,0.163,0.001,0.562,0.003,0.002,3206.0,2295.0,1.0
k_pain[9],1.309,0.107,1.1,1.504,0.001,0.001,9544.0,5425.0,1.0
k_pain[10],1.483,0.134,1.239,1.744,0.002,0.001,7357.0,4603.0,1.0
k_pain[11],0.226,0.143,0.0,0.472,0.002,0.001,4969.0,3130.0,1.0
k_pain[12],1.479,0.111,1.267,1.686,0.001,0.001,8795.0,5619.0,1.0
k_pain[13],0.683,0.133,0.445,0.942,0.002,0.001,7431.0,3639.0,1.0
k_pain[14],1.269,0.164,0.947,1.562,0.002,0.001,7689.0,4268.0,1.0
k_pain[15],0.109,0.091,0.0,0.279,0.001,0.001,6471.0,3816.0,1.0
k_pain[16],3.392,0.234,2.958,3.838,0.002,0.002,10035.0,5752.0,1.0
k_pain[17],0.88,0.132,0.634,1.123,0.002,0.001,7019.0,3772.0,1.0
k_pain[18],0.942,0.113,0.723,1.143,0.001,0.001,8857.0,5199.0,1.0
k_pain[19],1.914,0.134,1.671,2.176,0.001,0.001,8728.0,5148.0,1.0
k_pain[20],0.552,0.158,0.244,0.835,0.003,0.002,3304.0,1552.0,1.0
k_pain[21],1.849,0.137,1.599,2.11,0.001,0.001,10283.0,5681.0,1.0
k_pain[22],1.104,0.138,0.847,1.364,0.001,0.001,9124.0,4863.0,1.0
k_pain[23],1.183,0.109,0.979,1.389,0.001,0.001,6599.0,4462.0,1.0
k_pain[24],2.517,0.265,2.032,3.015,0.003,0.002,9625.0,6085.0,1.0
k_pain[25],1.221,0.123,0.992,1.453,0.001,0.001,8311.0,4974.0,1.0
k_pain[26],0.159,0.112,0.0,0.353,0.001,0.001,4534.0,2724.0,1.0
k_pain[27],2.112,0.138,1.863,2.387,0.001,0.001,9315.0,6083.0,1.0
k_pain[28],1.378,0.126,1.145,1.619,0.001,0.001,9121.0,4806.0,1.0
k_pain[29],9.201,1.543,6.394,12.123,0.019,0.014,7199.0,5881.0,1.0
k_pain[30],1.141,0.129,0.911,1.388,0.001,0.001,9795.0,5345.0,1.0
k_pain[31],0.572,0.16,0.265,0.863,0.002,0.002,5143.0,2638.0,1.0
k_pain[32],0.102,0.084,0.0,0.256,0.001,0.001,4955.0,2652.0,1.0
k_pain[33],1.902,0.141,1.633,2.165,0.002,0.001,8764.0,5817.0,1.0
k_pain[34],1.824,0.117,1.609,2.047,0.001,0.001,10915.0,5583.0,1.0
k_pain[35],1.384,0.135,1.13,1.634,0.001,0.001,9605.0,4755.0,1.0
k_pain[36],0.641,0.139,0.384,0.902,0.002,0.001,5593.0,3067.0,1.0
k_pain[37],1.171,0.115,0.953,1.381,0.001,0.001,7145.0,5381.0,1.0
k_pain[38],1.8,0.138,1.533,2.051,0.001,0.001,11122.0,5595.0,1.0
k_pain[39],2.369,0.18,2.033,2.711,0.002,0.001,9594.0,5923.0,1.0
k_pain[40],1.68,0.12,1.449,1.904,0.001,0.001,9842.0,5430.0,1.0
sv_pain[0],0.008,0.007,0.0,0.022,0.0,0.0,7028.0,3987.0,1.0
sv_pain[1],0.075,0.065,0.0,0.196,0.001,0.0,7028.0,3987.0,1.0
sv_pain[2],0.133,0.116,0.0,0.349,0.001,0.001,7028.0,3987.0,1.0
sv_pain[3],0.133,0.116,0.0,0.349,0.001,0.001,7028.0,3987.0,1.0
sv_pain[4],0.133,0.116,0.0,0.349,0.001,0.001,7028.0,3987.0,1.0
sv_pain[5],0.033,0.029,0.0,0.087,0.0,0.0,7028.0,3987.0,1.0
sv_pain[6],0.075,0.065,0.0,0.196,0.001,0.0,7028.0,3987.0,1.0
sv_pain[7],0.033,0.029,0.0,0.087,0.0,0.0,7028.0,3987.0,1.0
sv_pain[8],0.133,0.116,0.0,0.349,0.001,0.001,7028.0,3987.0,1.0
sv_pain[9],0.008,0.007,0.0,0.022,0.0,0.0,7028.0,3987.0,1.0
sv_pain[10],0.208,0.181,0.0,0.545,0.002,0.001,7028.0,3987.0,1.0
sv_pain[11],0.033,0.029,0.0,0.087,0.0,0.0,7028.0,3987.0,1.0
sv_pain[12],0.008,0.007,0.0,0.022,0.0,0.0,7028.0,3987.0,1.0
