,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_beta,50.798,1.674,47.792,54.084,0.023,0.016,5524.0,5930.0,1.0
beta_param[0],174.016,29.119,122.131,229.078,0.305,0.217,9020.0,6201.0,1.0
beta_param[1],146.722,27.658,96.094,199.199,0.379,0.268,5054.0,4940.0,1.0
beta_param[2],145.26,23.684,101.099,189.339,0.255,0.18,8391.0,5385.0,1.0
beta_param[3],136.455,22.144,95.14,178.822,0.238,0.168,8517.0,5917.0,1.0
beta_param[4],160.104,24.622,114.644,206.899,0.237,0.167,10567.0,5720.0,1.0
beta_param[5],116.229,18.931,79.732,150.525,0.199,0.143,8937.0,5959.0,1.0
beta_param[6],139.604,26.132,92.577,188.532,0.299,0.211,7410.0,6430.0,1.0
beta_param[7],127.388,24.669,83.403,173.837,0.313,0.222,5983.0,5867.0,1.0
beta_param[8],112.872,19.213,76.258,146.96,0.205,0.147,8703.0,5921.0,1.0
beta_param[9],172.755,27.409,119.737,222.428,0.295,0.209,8441.0,5951.0,1.0
beta_param[10],174.406,26.353,127.823,224.424,0.275,0.196,9124.0,6203.0,1.0
beta_param[11],121.914,20.664,83.541,160.142,0.223,0.159,8604.0,5800.0,1.0
beta_param[12],165.773,26.456,117.625,215.962,0.304,0.215,7387.0,5397.0,1.0
beta_param[13],159.158,30.032,105.062,216.436,0.386,0.273,5763.0,5212.0,1.0
beta_param[14],88.141,18.019,53.365,119.88,0.24,0.17,5320.0,4354.0,1.0
beta_param[15],169.278,28.23,117.426,221.501,0.3,0.213,8727.0,6414.0,1.0
beta_param[16],107.099,17.869,72.29,139.321,0.198,0.14,7844.0,4928.0,1.0
beta_param[17],142.654,25.878,96.794,194.355,0.37,0.262,4695.0,4552.0,1.0
beta_param[18],151.254,27.65,99.769,201.877,0.355,0.251,5766.0,4499.0,1.0
beta_param[19],149.626,23.422,106.71,193.755,0.256,0.181,8050.0,4960.0,1.0
beta_param[20],136.266,25.134,90.859,183.441,0.285,0.203,7744.0,5756.0,1.0
beta_param[21],136.741,21.877,98.641,179.833,0.214,0.151,10099.0,5529.0,1.0
beta_param[22],101.519,18.886,65.968,135.905,0.23,0.162,6467.0,4705.0,1.0
beta_param[23],150.048,26.028,101.998,199.289,0.302,0.213,7196.0,4646.0,1.0
beta_param[24],82.455,15.899,54.401,113.896,0.203,0.144,5714.0,3748.0,1.0
beta_param[25],170.296,27.311,119.695,221.209,0.288,0.204,8784.0,5383.0,1.0
beta_param[26],162.559,27.332,112.045,214.172,0.328,0.232,6844.0,5363.0,1.0
beta_param[27],152.287,23.642,107.445,195.118,0.228,0.161,10506.0,5977.0,1.0
beta_param[28],151.029,24.961,103.174,196.256,0.284,0.201,7566.0,5959.0,1.0
beta_param[29],74.619,12.309,52.232,97.907,0.13,0.092,8714.0,5710.0,1.0
beta_param[30],124.368,22.273,80.981,164.345,0.264,0.187,6783.0,5122.0,1.0
beta_param[31],122.022,21.995,81.561,162.7,0.273,0.193,6349.0,6352.0,1.0
beta_param[32],169.544,28.82,116.456,224.651,0.31,0.219,8451.0,5728.0,1.0
beta_param[33],154.87,23.81,110.155,198.759,0.273,0.193,7537.0,5921.0,1.0
beta_param[34],137.255,22.064,95.934,178.367,0.247,0.175,7809.0,5372.0,1.0
beta_param[35],145.152,24.001,100.132,189.872,0.243,0.172,9409.0,5365.0,1.0
beta_param[36],145.041,27.0,96.464,195.226,0.316,0.223,7043.0,5709.0,1.0
beta_param[37],175.32,28.648,121.522,227.231,0.334,0.236,7121.0,5747.0,1.0
beta_param[38],112.39,18.988,77.803,148.541,0.218,0.154,7419.0,4615.0,1.0
beta_param[39],87.145,16.016,57.443,117.002,0.177,0.125,8005.0,5358.0,1.0
