,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_param[sub-004],149.697,25.601,102.23,197.583,0.165,0.116,23086.0,16053.0,1.0
beta_param[sub-005],133.404,21.457,93.052,173.297,0.123,0.087,30146.0,18713.0,1.0
beta_param[sub-006],123.456,20.19,86.108,161.091,0.118,0.084,29043.0,17803.0,1.0
beta_param[sub-007],120.62,19.765,84.544,158.142,0.12,0.085,26612.0,18112.0,1.0
beta_param[sub-008],110.962,17.386,79.222,143.728,0.097,0.069,31865.0,16524.0,1.0
beta_param[sub-009],162.658,27.196,113.413,214.785,0.169,0.12,24951.0,16856.0,1.0
beta_param[sub-010],123.845,21.537,83.962,164.593,0.146,0.103,20842.0,16806.0,1.0
beta_param[sub-011],116.374,20.265,80.245,155.353,0.135,0.096,22101.0,18787.0,1.0
beta_param[sub-012],151.967,24.386,106.865,197.667,0.147,0.104,26757.0,17889.0,1.0
beta_param[sub-013],107.029,17.601,74.162,139.676,0.105,0.074,27703.0,17166.0,1.0
beta_param[sub-014],122.933,20.845,84.821,162.381,0.13,0.092,25537.0,18910.0,1.0
beta_param[sub-015],155.752,25.265,107.672,202.233,0.152,0.108,26922.0,17188.0,1.0
beta_param[sub-016],153.962,25.895,107.639,204.462,0.173,0.122,21693.0,15553.0,1.0
beta_param[sub-017],104.894,17.712,72.664,138.636,0.11,0.078,24968.0,17018.0,1.0
beta_param[sub-019],139.716,24.542,94.496,185.797,0.142,0.101,29253.0,18748.0,1.0
beta_param[sub-020],138.967,22.939,95.706,181.537,0.14,0.099,26137.0,17148.0,1.0
beta_param[sub-021],165.918,26.984,116.252,216.32,0.164,0.116,26570.0,17343.0,1.0
beta_param[sub-022],110.622,17.89,78.01,144.757,0.108,0.077,26677.0,17616.0,1.0
beta_param[sub-023],145.325,25.32,98.696,192.913,0.173,0.122,20406.0,14402.0,1.0
beta_param[sub-024],105.476,17.521,73.151,138.637,0.107,0.076,26680.0,15631.0,1.0
beta_param[sub-026],126.81,20.317,88.273,163.874,0.121,0.085,27813.0,18831.0,1.0
beta_param[sub-027],167.726,26.913,117.329,217.641,0.15,0.107,31775.0,18230.0,1.0
beta_param[sub-029],63.112,11.518,42.321,85.167,0.07,0.05,25433.0,16441.0,1.0
beta_param[sub-030],130.854,21.24,92.23,171.601,0.127,0.09,27093.0,17780.0,1.0
beta_param[sub-032],154.721,25.986,108.415,204.631,0.161,0.114,25713.0,18317.0,1.0
beta_param[sub-033],115.014,19.247,79.848,151.392,0.12,0.085,25249.0,17218.0,1.0
beta_param[sub-034],118.832,19.486,82.063,154.904,0.119,0.084,26488.0,18299.0,1.0
beta_param[sub-035],12.255,2.957,6.927,17.952,0.02,0.014,21853.0,11781.0,1.0
beta_param[sub-037],132.996,21.922,92.659,174.271,0.134,0.095,26111.0,16428.0,1.0
beta_param[sub-038],135.61,23.67,91.979,179.493,0.17,0.12,18375.0,15892.0,1.0
beta_param[sub-041],106.618,17.854,73.16,140.099,0.104,0.073,28917.0,17415.0,1.0
beta_param[sub-042],141.244,22.725,99.656,184.337,0.143,0.101,24942.0,18184.0,1.0
beta_param[sub-043],110.435,17.96,77.649,144.534,0.106,0.075,28494.0,18485.0,1.0
beta_param[sub-044],165.255,28.039,112.896,217.304,0.179,0.127,23785.0,16133.0,1.0
beta_param[sub-045],147.563,23.66,104.244,192.443,0.146,0.103,25912.0,17940.0,1.0
beta_param[sub-047],113.399,18.356,79.479,148.073,0.108,0.076,28340.0,18199.0,1.0
beta_param[sub-048],99.558,16.773,68.048,130.938,0.1,0.071,27382.0,17613.0,1.0
beta_param[sub-050],133.293,21.982,94.301,176.893,0.136,0.096,25513.0,18142.0,1.0
k_pain[sub-004],0.149,0.03,0.092,0.206,0.0,0.0,20985.0,9615.0,1.0
k_pain[sub-005],0.301,0.03,0.244,0.358,0.0,0.0,25408.0,15233.0,1.0
k_pain[sub-006],0.364,0.033,0.303,0.427,0.0,0.0,28639.0,17856.0,1.0
k_pain[sub-007],0.483,0.043,0.405,0.565,0.0,0.0,27810.0,17573.0,1.0
k_pain[sub-008],0.019,0.016,0.0,0.049,0.0,0.0,17655.0,10348.0,1.0
k_pain[sub-009],0.165,0.028,0.111,0.214,0.0,0.0,24530.0,11872.0,1.0
k_pain[sub-010],0.121,0.038,0.046,0.191,0.0,0.0,12243.0,5817.0,1.0
k_pain[sub-011],0.072,0.036,0.001,0.13,0.0,0.0,12404.0,7181.0,1.0
k_pain[sub-012],0.275,0.027,0.224,0.325,0.0,0.0,29105.0,16473.0,1.0
k_pain[sub-013],0.306,0.035,0.242,0.373,0.0,0.0,26564.0,15061.0,1.0
k_pain[sub-014],0.058,0.033,0.0,0.113,0.0,0.0,11656.0,7136.0,1.0
k_pain[sub-015],0.313,0.027,0.262,0.365,0.0,0.0,27272.0,16143.0,1.0
k_pain[sub-016],0.143,0.03,0.086,0.198,0.0,0.0,15731.0,7980.0,1.0
k_pain[sub-017],0.279,0.037,0.208,0.346,0.0,0.0,23197.0,14885.0,1.0
k_pain[sub-019],0.981,0.093,0.814,1.159,0.001,0.0,26176.0,17715.0,1.0
k_pain[sub-020],0.185,0.03,0.129,0.242,0.0,0.0,21816.0,11995.0,1.0
k_pain[sub-021],0.203,0.026,0.153,0.251,0.0,0.0,24875.0,13946.0,1.0
k_pain[sub-022],0.418,0.039,0.344,0.489,0.0,0.0,27357.0,18506.0,1.0
k_pain[sub-023],0.124,0.033,0.06,0.183,0.0,0.0,14194.0,6816.0,1.0
k_pain[sub-024],0.404,0.039,0.331,0.478,0.0,0.0,27290.0,17417.0,1.0
k_pain[sub-026],0.244,0.031,0.185,0.301,0.0,0.0,23047.0,13316.0,1.0
k_pain[sub-027],0.255,0.025,0.207,0.302,0.0,0.0,23202.0,16249.0,1.0
k_pain[sub-029],0.61,0.08,0.465,0.76,0.0,0.0,26340.0,17570.0,1.0
k_pain[sub-030],0.25,0.03,0.193,0.306,0.0,0.0,26300.0,13532.0,1.0
k_pain[sub-032],0.036,0.025,0.0,0.079,0.0,0.0,17729.0,10427.0,1.0
k_pain[sub-033],0.479,0.045,0.395,0.562,0.0,0.0,28981.0,18409.0,1.0
k_pain[sub-034],0.286,0.032,0.225,0.345,0.0,0.0,24683.0,16062.0,1.0
k_pain[sub-035],1.956,0.394,1.245,2.706,0.003,0.002,19010.0,15753.0,1.0
k_pain[sub-037],0.244,0.031,0.183,0.3,0.0,0.0,20985.0,13133.0,1.0
k_pain[sub-038],0.131,0.034,0.069,0.196,0.0,0.0,11595.0,5920.0,1.0
k_pain[sub-041],0.413,0.041,0.335,0.489,0.0,0.0,26098.0,17549.0,1.0
k_pain[sub-042],0.401,0.032,0.341,0.46,0.0,0.0,24975.0,18084.0,1.0
k_pain[sub-043],0.286,0.034,0.222,0.351,0.0,0.0,22862.0,13371.0,1.0
k_pain[sub-044],0.143,0.029,0.088,0.198,0.0,0.0,20682.0,9181.0,1.0
k_pain[sub-045],0.242,0.029,0.188,0.297,0.0,0.0,24804.0,14085.0,1.0
k_pain[sub-047],0.396,0.037,0.33,0.471,0.0,0.0,25318.0,17841.0,1.0
k_pain[sub-048],0.575,0.059,0.468,0.687,0.0,0.0,26583.0,18428.0,1.0
k_pain[sub-050],0.362,0.031,0.303,0.419,0.0,0.0,22928.0,17930.0,1.0
p_pain[0],0.952,0.03,0.898,0.995,0.0,0.0,39485.0,19050.0,1.0
p_pain[1],0.976,0.015,0.949,0.997,0.0,0.0,26435.0,17051.0,1.0
p_pain[2],0.949,0.024,0.905,0.989,0.0,0.0,34575.0,17875.0,1.0
p_pain[3],0.983,0.012,0.962,0.999,0.0,0.0,23869.0,16319.0,1.0
p_pain[4],0.986,0.01,0.969,0.999,0.0,0.0,30827.0,17853.0,1.0
p_pain[5],0.911,0.031,0.854,0.965,0.0,0.0,29010.0,17560.0,1.0
p_pain[6],0.998,0.002,0.994,1.0,0.0,0.0,24846.0,16759.0,1.0
p_pain[7],0.946,0.025,0.899,0.986,0.0,0.0,23222.0,16177.0,1.0
p_pain[8],0.82,0.048,0.731,0.907,0.0,0.0,39485.0,18958.0,1.0
p_pain[9],0.996,0.004,0.99,1.0,0.0,0.0,28572.0,17572.0,1.0
p_pain[10],0.229,0.108,0.055,0.432,0.001,0.001,18906.0,9516.0,1.0
p_pain[11],0.987,0.011,0.968,1.0,0.0,0.0,37182.0,18561.0,1.0
p_pain[12],0.996,0.004,0.989,1.0,0.0,0.0,23151.0,16177.0,1.0
p_pain[13],0.541,0.126,0.312,0.78,0.001,0.001,23397.0,11446.0,1.0
p_pain[14],0.786,0.036,0.717,0.852,0.0,0.0,25954.0,17127.0,1.0
p_pain[15],0.999,0.002,0.996,1.0,0.0,0.0,23541.0,16107.0,1.0
p_pain[16],0.707,0.034,0.644,0.771,0.0,0.0,38303.0,18737.0,1.0
p_pain[17],0.995,0.005,0.987,1.0,0.0,0.0,23660.0,16231.0,1.0
p_pain[18],0.938,0.026,0.889,0.982,0.0,0.0,24321.0,16533.0,1.0
p_pain[19],0.993,0.006,0.983,1.0,0.0,0.0,25396.0,17011.0,1.0
p_pain[20],0.829,0.075,0.687,0.951,0.0,0.0,34121.0,16444.0,1.0
p_pain[21],0.999,0.002,0.996,1.0,0.0,0.0,23139.0,16177.0,1.0
p_pain[22],0.513,0.068,0.39,0.647,0.0,0.0,23049.0,11273.0,1.0
p_pain[23],0.985,0.011,0.966,0.999,0.0,0.0,23175.0,16177.0,1.0
p_pain[24],0.996,0.004,0.989,1.0,0.0,0.0,23151.0,16177.0,1.0
p_pain[25],0.983,0.012,0.962,0.999,0.0,0.0,23869.0,16319.0,1.0
p_pain[26],0.976,0.015,0.949,0.997,0.0,0.0,26435.0,17051.0,1.0
p_pain[27],0.986,0.01,0.969,0.999,0.0,0.0,30827.0,17853.0,1.0
p_pain[28],0.999,0.002,0.996,1.0,0.0,0.0,23139.0,16177.0,1.0
p_pain[29],0.786,0.036,0.717,0.852,0.0,0.0,25954.0,17127.0,1.0
p_pain[30],0.987,0.011,0.968,1.0,0.0,0.0,37182.0,18561.0,1.0
p_pain[31],0.949,0.024,0.905,0.989,0.0,0.0,34575.0,17875.0,1.0
p_pain[32],0.946,0.025,0.899,0.986,0.0,0.0,23222.0,16177.0,1.0
p_pain[33],0.993,0.006,0.983,1.0,0.0,0.0,25396.0,17011.0,1.0
p_pain[34],0.541,0.126,0.312,0.78,0.001,0.001,23397.0,11446.0,1.0
p_pain[35],0.513,0.068,0.39,0.647,0.0,0.0,23049.0,11273.0,1.0
p_pain[36],0.996,0.004,0.99,1.0,0.0,0.0,28572.0,17572.0,1.0
p_pain[37],0.911,0.031,0.854,0.965,0.0,0.0,29010.0,17560.0,1.0
p_pain[38],0.952,0.03,0.898,0.995,0.0,0.0,39485.0,19050.0,1.0
p_pain[39],0.985,0.011,0.966,0.999,0.0,0.0,23175.0,16177.0,1.0
p_pain[40],0.938,0.026,0.889,0.982,0.0,0.0,24321.0,16533.0,1.0
p_pain[41],0.811,0.037,0.742,0.882,0.0,0.0,23362.0,16090.0,1.0
p_pain[42],0.998,0.002,0.994,1.0,0.0,0.0,24846.0,16759.0,1.0
p_pain[43],0.82,0.048,0.731,0.907,0.0,0.0,39485.0,18958.0,1.0
p_pain[44],0.229,0.108,0.055,0.432,0.001,0.001,18906.0,9516.0,1.0
p_pain[45],0.829,0.075,0.687,0.951,0.0,0.0,34121.0,16444.0,1.0
p_pain[46],0.995,0.005,0.987,1.0,0.0,0.0,23660.0,16231.0,1.0
p_pain[47],0.999,0.002,0.996,1.0,0.0,0.0,23541.0,16107.0,1.0
p_pain[48],0.707,0.034,0.644,0.771,0.0,0.0,38303.0,18737.0,1.0
p_pain[49],0.946,0.025,0.899,0.986,0.0,0.0,23222.0,16177.0,1.0
p_pain[50],0.541,0.126,0.312,0.78,0.001,0.001,23397.0,11446.0,1.0
p_pain[51],0.986,0.01,0.969,0.999,0.0,0.0,30827.0,17853.0,1.0
p_pain[52],0.995,0.005,0.987,1.0,0.0,0.0,23660.0,16231.0,1.0
p_pain[53],0.811,0.037,0.742,0.882,0.0,0.0,23362.0,16090.0,1.0
p_pain[54],0.911,0.031,0.854,0.965,0.0,0.0,29010.0,17560.0,1.0
p_pain[55],0.707,0.034,0.644,0.771,0.0,0.0,38303.0,18737.0,1.0
p_pain[56],0.786,0.036,0.717,0.852,0.0,0.0,25954.0,17127.0,1.0
p_pain[57],0.82,0.048,0.731,0.907,0.0,0.0,39485.0,18958.0,1.0
p_pain[58],0.949,0.024,0.905,0.989,0.0,0.0,34575.0,17875.0,1.0
p_pain[59],0.976,0.015,0.949,0.997,0.0,0.0,26435.0,17051.0,1.0
p_pain[60],0.993,0.006,0.983,1.0,0.0,0.0,25396.0,17011.0,1.0
p_pain[61],0.999,0.002,0.996,1.0,0.0,0.0,23541.0,16107.0,1.0
p_pain[62],0.996,0.004,0.989,1.0,0.0,0.0,23151.0,16177.0,1.0
p_pain[63],0.996,0.004,0.99,1.0,0.0,0.0,28572.0,17572.0,1.0
p_pain[64],0.998,0.002,0.994,1.0,0.0,0.0,24846.0,16759.0,1.0
p_pain[65],0.938,0.026,0.889,0.982,0.0,0.0,24321.0,16533.0,1.0
p_pain[66],0.999,0.002,0.996,1.0,0.0,0.0,23139.0,16177.0,1.0
p_pain[67],0.229,0.108,0.055,0.432,0.001,0.001,18906.0,9516.0,1.0
p_pain[68],0.952,0.03,0.898,0.995,0.0,0.0,39485.0,19050.0,1.0
p_pain[69],0.985,0.011,0.966,0.999,0.0,0.0,23175.0,16177.0,1.0
p_pain[70],0.829,0.075,0.687,0.951,0.0,0.0,34121.0,16444.0,1.0
p_pain[71],0.987,0.011,0.968,1.0,0.0,0.0,37182.0,18561.0,1.0
p_pain[72],0.983,0.012,0.962,0.999,0.0,0.0,23869.0,16319.0,1.0
p_pain[73],0.513,0.068,0.39,0.647,0.0,0.0,23049.0,11273.0,1.0
p_pain[74],0.513,0.068,0.39,0.647,0.0,0.0,23049.0,11273.0,1.0
p_pain[75],0.946,0.025,0.899,0.986,0.0,0.0,23222.0,16177.0,1.0
p_pain[76],0.995,0.005,0.987,1.0,0.0,0.0,23660.0,16231.0,1.0
p_pain[77],0.949,0.024,0.905,0.989,0.0,0.0,34575.0,17875.0,1.0
p_pain[78],0.811,0.037,0.742,0.882,0.0,0.0,23362.0,16090.0,1.0
p_pain[79],0.82,0.048,0.731,0.907,0.0,0.0,39485.0,18958.0,1.0
p_pain[80],0.829,0.075,0.687,0.951,0.0,0.0,34121.0,16444.0,1.0
p_pain[81],0.976,0.015,0.949,0.997,0.0,0.0,26435.0,17051.0,1.0
p_pain[82],0.999,0.002,0.996,1.0,0.0,0.0,23541.0,16107.0,1.0
p_pain[83],0.996,0.004,0.99,1.0,0.0,0.0,28572.0,17572.0,1.0
p_pain[84],0.985,0.011,0.966,0.999,0.0,0.0,23175.0,16177.0,1.0
p_pain[85],0.998,0.002,0.994,1.0,0.0,0.0,24846.0,16759.0,1.0
p_pain[86],0.987,0.011,0.968,1.0,0.0,0.0,37182.0,18561.0,1.0
p_pain[87],0.707,0.034,0.644,0.771,0.0,0.0,38303.0,18737.0,1.0
p_pain[88],0.996,0.004,0.989,1.0,0.0,0.0,23151.0,16177.0,1.0
p_pain[89],0.786,0.036,0.717,0.852,0.0,0.0,25954.0,17127.0,1.0
p_pain[90],0.986,0.01,0.969,0.999,0.0,0.0,30827.0,17853.0,1.0
p_pain[91],0.993,0.006,0.983,1.0,0.0,0.0,25396.0,17011.0,1.0
p_pain[92],0.911,0.031,0.854,0.965,0.0,0.0,29010.0,17560.0,1.0
p_pain[93],0.983,0.012,0.962,0.999,0.0,0.0,23869.0,16319.0,1.0
p_pain[94],0.229,0.108,0.055,0.432,0.001,0.001,18906.0,9516.0,1.0
p_pain[95],0.999,0.002,0.996,1.0,0.0,0.0,23139.0,16177.0,1.0
p_pain[96],0.952,0.03,0.898,0.995,0.0,0.0,39485.0,19050.0,1.0
p_pain[97],0.541,0.126,0.312,0.78,0.001,0.001,23397.0,11446.0,1.0
p_pain[98],0.938,0.026,0.889,0.982,0.0,0.0,24321.0,16533.0,1.0
p_pain[99],0.996,0.004,0.99,1.0,0.0,0.0,28572.0,17572.0,1.0
