,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_param[sub-004],159.522,30.148,104.268,216.936,0.191,0.135,22543.0,12794.0,1.0
beta_param[sub-005],169.383,26.885,120.949,221.716,0.128,0.091,43397.0,18162.0,1.0
beta_param[sub-006],165.874,26.487,115.547,214.032,0.127,0.091,42915.0,17852.0,1.0
beta_param[sub-007],211.348,32.351,151.325,272.869,0.15,0.109,45606.0,18101.0,1.0
beta_param[sub-008],115.082,18.433,81.538,149.682,0.089,0.065,43628.0,17375.0,1.0
beta_param[sub-009],156.503,29.754,102.472,213.504,0.184,0.13,24460.0,13653.0,1.0
beta_param[sub-010],131.781,25.75,85.211,180.17,0.165,0.116,22517.0,15646.0,1.0
beta_param[sub-011],112.97,20.066,76.253,149.832,0.101,0.073,39159.0,18541.0,1.0
beta_param[sub-012],197.894,31.443,140.085,257.399,0.152,0.11,42393.0,18170.0,1.0
beta_param[sub-013],176.64,27.596,126.538,229.871,0.134,0.096,41957.0,17788.0,1.0
beta_param[sub-014],121.255,20.684,83.372,159.627,0.105,0.078,39406.0,19338.0,1.0
beta_param[sub-015],198.024,30.958,141.74,257.47,0.156,0.111,38599.0,17533.0,1.0
beta_param[sub-016],171.202,31.758,113.519,231.177,0.19,0.135,26165.0,15418.0,1.0
beta_param[sub-017],104.586,19.675,69.122,142.619,0.137,0.097,17220.0,7838.0,1.0
beta_param[sub-019],156.774,25.979,109.457,206.62,0.125,0.089,42550.0,18707.0,1.0
beta_param[sub-020],157.09,27.722,106.945,210.628,0.145,0.103,34977.0,17223.0,1.0
beta_param[sub-021],173.628,30.232,119.336,232.338,0.164,0.116,32340.0,17266.0,1.0
beta_param[sub-022],184.235,28.302,132.69,238.262,0.135,0.098,42918.0,18146.0,1.0
beta_param[sub-023],144.271,28.152,94.018,198.013,0.187,0.132,20584.0,14557.0,1.0
beta_param[sub-024],159.039,25.207,112.924,207.248,0.124,0.089,40678.0,17754.0,1.0
beta_param[sub-026],119.983,21.668,78.394,159.486,0.121,0.085,30563.0,16134.0,1.0
beta_param[sub-027],178.488,29.684,122.911,233.39,0.146,0.104,40148.0,17608.0,1.0
