,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_param[sub-004],132.271,27.128,81.646,182.643,0.17,0.12,23713.0,14486.0,1.0
beta_param[sub-005],136.265,23.172,92.327,178.918,0.124,0.088,33447.0,17725.0,1.0
beta_param[sub-006],124.837,21.212,86.481,165.976,0.113,0.08,34420.0,17542.0,1.0
beta_param[sub-007],135.621,21.766,95.319,177.324,0.114,0.081,35641.0,17917.0,1.0
beta_param[sub-008],61.254,16.36,32.346,91.909,0.093,0.066,27907.0,15818.0,1.0
beta_param[sub-009],124.266,26.86,73.232,173.397,0.16,0.113,25944.0,13109.0,1.0
beta_param[sub-010],108.4,24.346,63.479,154.538,0.145,0.103,25984.0,15258.0,1.0
beta_param[sub-011],78.123,20.377,39.863,115.456,0.124,0.088,23620.0,13875.0,1.0
beta_param[sub-012],161.548,26.427,112.873,211.213,0.144,0.102,32697.0,18285.0,1.0
beta_param[sub-013],160.71,25.124,113.861,207.774,0.13,0.092,36801.0,18409.0,1.0
beta_param[sub-014],78.022,20.656,41.119,116.799,0.126,0.089,23974.0,14813.0,1.0
beta_param[sub-015],153.502,25.254,107.22,201.572,0.133,0.094,35225.0,18320.0,1.0
beta_param[sub-016],143.355,28.819,89.063,196.582,0.169,0.12,27236.0,15375.0,1.0
beta_param[sub-017],80.019,17.663,47.09,112.766,0.106,0.075,26030.0,15231.0,1.0
beta_param[sub-019],74.092,16.141,43.795,104.362,0.09,0.063,31307.0,16734.0,1.0
beta_param[sub-020],132.571,25.657,86.426,181.981,0.151,0.107,27331.0,15297.0,1.0
beta_param[sub-021],140.341,27.036,88.996,189.825,0.152,0.107,30137.0,17016.0,1.0
beta_param[sub-022],131.901,21.321,91.696,171.379,0.11,0.078,36742.0,16747.0,1.0
beta_param[sub-023],115.626,26.089,67.705,164.493,0.156,0.11,25881.0,13311.0,1.0
beta_param[sub-024],122.736,20.236,84.856,160.56,0.102,0.072,38006.0,18065.0,1.0
beta_param[sub-026],92.678,19.737,56.236,129.686,0.12,0.085,25449.0,14238.0,1.0
beta_param[sub-027],141.493,25.243,94.818,189.436,0.138,0.098,31854.0,18174.0,1.0
beta_param[sub-029],65.591,15.386,36.125,94.251,0.092,0.065,27078.0,15065.0,1.0
beta_param[sub-030],159.765,26.385,109.383,208.002,0.139,0.098,34744.0,17080.0,1.0
beta_param[sub-032],105.225,27.502,55.116,155.892,0.171,0.121,23005.0,15052.0,1.0
beta_param[sub-033],130.258,21.353,91.724,170.951,0.112,0.079,35019.0,16965.0,1.0
beta_param[sub-034],140.935,23.667,99.157,187.159,0.128,0.091,32800.0,17014.0,1.0
beta_param[sub-035],1.173,1.42,0.0,3.551,0.008,0.007,23809.0,15533.0,1.0
beta_param[sub-037],116.367,22.307,74.888,158.202,0.134,0.095,26155.0,14827.0,1.0
beta_param[sub-038],100.336,23.609,56.884,144.534,0.13,0.092,29971.0,15692.0,1.0
beta_param[sub-041],138.791,22.747,96.851,181.903,0.122,0.087,33911.0,18318.0,1.0
beta_param[sub-042],122.221,20.546,83.394,160.23,0.108,0.076,35280.0,18084.0,1.0
beta_param[sub-043],136.756,23.134,93.099,179.969,0.121,0.085,35515.0,17873.0,1.0
beta_param[sub-044],124.654,27.983,72.927,176.907,0.178,0.126,22901.0,13777.0,1.0
beta_param[sub-045],166.063,28.044,114.004,218.247,0.154,0.109,31975.0,17620.0,1.0
beta_param[sub-047],101.102,18.427,66.734,135.772,0.104,0.074,29837.0,15410.0,1.0
beta_param[sub-048],70.138,14.97,41.586,97.699,0.089,0.063,27190.0,16387.0,1.0
beta_param[sub-050],130.472,21.937,89.872,171.495,0.115,0.081,35319.0,19160.0,1.0
k_pain[sub-004],6.069,1.88,2.544,9.556,0.012,0.008,24095.0,13325.0,1.0
k_pain[sub-005],18.307,3.697,11.539,25.405,0.02,0.014,32011.0,16457.0,1.0
k_pain[sub-006],25.247,4.916,16.344,34.703,0.027,0.019,32609.0,17475.0,1.0
k_pain[sub-007],39.791,6.512,28.033,52.446,0.034,0.024,35862.0,18017.0,1.0
k_pain[sub-008],0.386,0.442,0.0,1.185,0.003,0.002,27597.0,15143.0,1.0
k_pain[sub-009],5.291,1.86,1.772,8.747,0.011,0.008,25324.0,12268.0,1.0
k_pain[sub-010],5.009,2.043,1.146,8.649,0.012,0.008,25971.0,14283.0,1.0
