,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_param[sub-004],0.044,0.064,0.0,0.15,0.001,0.001,922.0,895.0,1.0
beta_param[sub-005],0.043,0.061,0.0,0.145,0.001,0.001,945.0,957.0,1.0
beta_param[sub-006],0.043,0.061,0.0,0.147,0.001,0.001,911.0,933.0,1.0
beta_param[sub-007],0.043,0.062,0.0,0.144,0.001,0.001,938.0,916.0,1.0
beta_param[sub-008],0.045,0.066,0.0,0.153,0.001,0.001,901.0,920.0,1.0
beta_param[sub-009],0.044,0.064,0.0,0.151,0.001,0.001,910.0,885.0,1.01
beta_param[sub-010],0.043,0.062,0.0,0.147,0.001,0.001,904.0,927.0,1.0
beta_param[sub-011],0.044,0.063,0.0,0.15,0.001,0.001,912.0,938.0,1.0
beta_param[sub-012],0.043,0.061,0.0,0.146,0.001,0.001,923.0,939.0,1.0
beta_param[sub-013],0.043,0.06,0.0,0.146,0.001,0.001,916.0,866.0,1.01
beta_param[sub-014],0.044,0.063,0.0,0.153,0.001,0.001,931.0,916.0,1.0
beta_param[sub-015],0.043,0.062,0.0,0.143,0.001,0.001,912.0,913.0,1.0
beta_param[sub-016],0.044,0.064,0.0,0.146,0.001,0.001,923.0,922.0,1.0
beta_param[sub-017],0.043,0.062,0.0,0.146,0.001,0.001,932.0,914.0,1.0
beta_param[sub-019],0.042,0.06,0.0,0.143,0.001,0.001,885.0,821.0,1.01
beta_param[sub-020],0.044,0.063,0.0,0.149,0.001,0.001,874.0,929.0,1.0
beta_param[sub-021],0.043,0.061,0.0,0.145,0.001,0.001,913.0,857.0,1.01
beta_param[sub-022],0.043,0.061,0.0,0.147,0.001,0.001,950.0,969.0,1.0
beta_param[sub-023],0.044,0.065,0.0,0.152,0.001,0.001,907.0,943.0,1.01
beta_param[sub-024],0.042,0.061,0.0,0.146,0.001,0.001,990.0,978.0,1.0
beta_param[sub-026],0.043,0.061,0.0,0.147,0.001,0.001,892.0,938.0,1.0
beta_param[sub-027],0.043,0.061,0.0,0.147,0.001,0.001,903.0,950.0,1.01
beta_param[sub-029],0.043,0.062,0.0,0.145,0.001,0.001,914.0,854.0,1.0
beta_param[sub-030],0.042,0.06,0.0,0.146,0.001,0.001,946.0,938.0,1.0
beta_param[sub-032],0.044,0.065,0.0,0.151,0.001,0.001,907.0,881.0,1.0
beta_param[sub-033],0.043,0.062,0.0,0.147,0.001,0.001,906.0,932.0,1.0
beta_param[sub-034],0.043,0.061,0.0,0.146,0.001,0.001,862.0,889.0,1.0
beta_param[sub-035],0.045,0.065,0.0,0.156,0.001,0.001,917.0,950.0,1.0
beta_param[sub-037],0.043,0.062,0.0,0.145,0.001,0.001,928.0,920.0,1.0
beta_param[sub-038],0.044,0.064,0.0,0.151,0.001,0.001,902.0,973.0,1.0
beta_param[sub-041],0.043,0.061,0.0,0.144,0.001,0.001,905.0,980.0,1.01
beta_param[sub-042],0.043,0.062,0.0,0.142,0.001,0.001,890.0,916.0,1.0
beta_param[sub-043],0.043,0.062,0.0,0.148,0.001,0.001,915.0,902.0,1.0
beta_param[sub-044],0.043,0.063,0.0,0.148,0.001,0.001,963.0,1028.0,1.0
beta_param[sub-045],0.043,0.062,0.0,0.148,0.001,0.001,916.0,969.0,1.0
beta_param[sub-047],0.042,0.061,0.0,0.143,0.001,0.001,939.0,895.0,1.01
beta_param[sub-048],0.043,0.062,0.0,0.146,0.001,0.001,891.0,951.0,1.0
