,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_param[sub-004],161.065,28.432,108.129,212.973,0.193,0.137,20318.0,12757.0,1.0
beta_param[sub-005],160.406,25.651,112.918,208.642,0.155,0.11,26766.0,16807.0,1.0
beta_param[sub-006],154.772,25.259,107.534,202.193,0.154,0.109,26308.0,17500.0,1.0
beta_param[sub-007],173.443,28.54,121.711,227.872,0.166,0.118,29023.0,18409.0,1.0
beta_param[sub-008],113.624,18.126,82.067,149.47,0.101,0.073,31938.0,19095.0,1.0
beta_param[sub-009],168.416,29.153,114.922,223.457,0.18,0.127,25169.0,16508.0,1.0
beta_param[sub-010],131.956,24.123,88.375,177.848,0.171,0.121,18674.0,13431.0,1.0
beta_param[sub-011],117.131,20.752,80.161,156.775,0.134,0.095,23560.0,18115.0,1.0
beta_param[sub-012],182.778,29.177,127.855,235.941,0.178,0.126,26383.0,17981.0,1.0
beta_param[sub-013],136.054,22.263,96.072,178.969,0.135,0.096,26540.0,16414.0,1.0
beta_param[sub-014],123.797,21.133,85.602,163.543,0.14,0.1,22846.0,18148.0,1.0
beta_param[sub-015],189.059,29.92,132.993,244.302,0.169,0.12,30765.0,17707.0,1.0
beta_param[sub-016],167.682,29.445,114.955,224.084,0.197,0.139,21139.0,15396.0,1.0
beta_param[sub-017],111.937,19.326,76.663,148.675,0.124,0.088,23806.0,17193.0,1.0
beta_param[sub-019],166.917,29.068,113.437,220.992,0.176,0.124,26612.0,17658.0,1.0
beta_param[sub-020],153.443,25.983,107.04,204.017,0.16,0.113,25440.0,17583.0,1.0
beta_param[sub-021],179.635,29.556,124.952,235.206,0.182,0.129,25418.0,17372.0,1.0
beta_param[sub-022],152.543,24.821,107.063,200.04,0.139,0.099,31374.0,18044.0,1.0
beta_param[sub-023],151.218,27.206,101.601,202.456,0.182,0.128,21151.0,15648.0,1.0
beta_param[sub-024],134.541,21.848,95.146,176.787,0.127,0.089,29128.0,17898.0,1.0
beta_param[sub-026],131.824,22.197,92.239,174.716,0.143,0.101,23164.0,16503.0,1.0
beta_param[sub-027],185.886,29.46,131.439,240.91,0.179,0.126,26590.0,17073.0,1.0
beta_param[sub-029],74.015,13.466,49.132,99.43,0.084,0.06,24729.0,15750.0,1.0
beta_param[sub-030],159.241,25.68,112.734,208.927,0.152,0.107,27761.0,18519.0,1.0
beta_param[sub-032],161.831,27.497,110.081,213.043,0.176,0.125,23849.0,18107.0,1.0
beta_param[sub-033],160.372,26.133,111.684,209.129,0.153,0.108,28768.0,16831.0,1.0
beta_param[sub-034],145.732,23.724,102.273,191.041,0.137,0.097,29657.0,18319.0,1.0
beta_param[sub-035],18.028,3.799,11.06,25.164,0.023,0.016,26135.0,17875.0,1.0
beta_param[sub-037],147.09,24.538,101.458,193.007,0.147,0.104,27178.0,16506.0,1.0
beta_param[sub-038],138.209,24.817,91.825,183.85,0.165,0.117,21479.0,14534.0,1.0
beta_param[sub-041],144.517,24.115,100.443,190.682,0.137,0.097,30505.0,18610.0,1.0
beta_param[sub-042],176.189,28.324,124.947,230.191,0.151,0.107,34211.0,19564.0,1.0
beta_param[sub-043],135.197,22.034,95.905,178.312,0.138,0.098,24958.0,16596.0,1.0
beta_param[sub-044],170.964,30.546,113.419,227.814,0.22,0.156,18075.0,10478.0,1.0
beta_param[sub-045],178.067,28.632,125.289,231.701,0.171,0.121,27289.0,17359.0,1.0
beta_param[sub-047],139.846,22.773,97.866,182.917,0.135,0.095,27858.0,17616.0,1.0
beta_param[sub-048],122.09,20.41,83.66,159.107,0.124,0.087,26779.0,18696.0,1.0
beta_param[sub-050],165.89,26.691,116.6,216.093,0.159,0.112,27959.0,20125.0,1.0
k_pain[sub-004],0.698,0.137,0.442,0.949,0.001,0.001,18313.0,8009.0,1.0
k_pain[sub-005],1.422,0.121,1.204,1.661,0.001,0.001,24411.0,15217.0,1.0
k_pain[sub-006],1.694,0.125,1.462,1.939,0.001,0.0,31491.0,15779.0,1.0
k_pain[sub-007],2.132,0.133,1.882,2.38,0.001,0.001,27850.0,17074.0,1.0
k_pain[sub-008],0.086,0.075,0.0,0.225,0.0,0.0,21098.0,11645.0,1.0
k_pain[sub-009],0.738,0.131,0.489,0.982,0.001,0.001,23449.0,11507.0,1.0
k_pain[sub-010],0.578,0.176,0.231,0.892,0.002,0.001,12971.0,6608.0,1.0
k_pain[sub-011],0.29,0.163,0.0,0.555,0.001,0.001,13351.0,8297.0,1.0
k_pain[sub-012],1.307,0.112,1.09,1.513,0.001,0.0,26581.0,15855.0,1.0
k_pain[sub-013],1.483,0.136,1.238,1.747,0.001,0.001,25728.0,14111.0,1.0
k_pain[sub-014],0.222,0.142,0.0,0.464,0.001,0.001,13655.0,9004.0,1.0
k_pain[sub-015],1.479,0.111,1.276,1.697,0.001,0.0,27156.0,16292.0,1.0
k_pain[sub-016],0.678,0.137,0.425,0.933,0.001,0.001,19158.0,10207.0,1.0
k_pain[sub-017],1.269,0.163,0.96,1.57,0.001,0.001,24183.0,14463.0,1.0
k_pain[sub-019],3.402,0.239,2.964,3.858,0.002,0.001,22902.0,17067.0,1.0
k_pain[sub-020],0.878,0.131,0.631,1.12,0.001,0.001,23624.0,13807.0,1.0
k_pain[sub-021],0.937,0.117,0.708,1.149,0.001,0.001,24690.0,13522.0,1.0
k_pain[sub-022],1.919,0.131,1.675,2.168,0.001,0.001,26641.0,18101.0,1.0
k_pain[sub-023],0.552,0.151,0.264,0.839,0.001,0.001,16523.0,8328.0,1.0
k_pain[sub-024],1.852,0.143,1.585,2.123,0.001,0.001,26010.0,15954.0,1.0
k_pain[sub-026],1.101,0.14,0.836,1.363,0.001,0.001,21628.0,11198.0,1.0
k_pain[sub-027],1.183,0.112,0.971,1.393,0.001,0.0,31293.0,16116.0,1.0
k_pain[sub-029],2.526,0.268,2.036,3.04,0.002,0.001,26858.0,16654.0,1.0
k_pain[sub-030],1.221,0.122,0.997,1.452,0.001,0.001,26510.0,15517.0,1.0
k_pain[sub-032],0.157,0.111,0.0,0.353,0.001,0.001,15006.0,9715.0,1.0
k_pain[sub-033],2.117,0.141,1.859,2.39,0.001,0.001,30285.0,18437.0,1.0
k_pain[sub-034],1.376,0.129,1.134,1.62,0.001,0.001,26705.0,14571.0,1.0
k_pain[sub-035],9.612,1.629,6.672,12.678,0.012,0.009,19375.0,17916.0,1.0
k_pain[sub-037],1.139,0.134,0.885,1.385,0.001,0.001,21668.0,12963.0,1.0
k_pain[sub-038],0.571,0.161,0.264,0.868,0.001,0.001,14415.0,7295.0,1.0
k_pain[sub-041],1.903,0.143,1.644,2.182,0.001,0.001,27487.0,18577.0,1.0
k_pain[sub-042],1.824,0.117,1.608,2.049,0.001,0.001,24066.0,16839.0,1.0
k_pain[sub-043],1.385,0.136,1.138,1.655,0.001,0.001,25752.0,14944.0,1.0
k_pain[sub-044],0.634,0.143,0.361,0.893,0.002,0.001,10829.0,5407.0,1.0
k_pain[sub-045],1.169,0.116,0.944,1.384,0.001,0.0,29930.0,15626.0,1.0
k_pain[sub-047],1.803,0.139,1.544,2.068,0.001,0.001,27906.0,16973.0,1.0
k_pain[sub-048],2.374,0.183,2.032,2.72,0.001,0.001,28094.0,18503.0,1.0
k_pain[sub-050],1.682,0.12,1.457,1.911,0.001,0.001,26916.0,16544.0,1.0
p_pain[0],0.968,0.021,0.929,0.997,0.0,0.0,37955.0,18925.0,1.0
p_pain[1],0.974,0.016,0.946,0.997,0.0,0.0,26046.0,17246.0,1.0
p_pain[2],0.948,0.026,0.9,0.988,0.0,0.0,34909.0,19496.0,1.0
p_pain[3],0.984,0.012,0.963,0.999,0.0,0.0,22266.0,15488.0,1.0
p_pain[4],0.987,0.01,0.97,0.999,0.0,0.0,29439.0,18786.0,1.0
p_pain[5],0.895,0.034,0.832,0.955,0.0,0.0,31428.0,18931.0,1.0
p_pain[6],0.998,0.002,0.995,1.0,0.0,0.0,23113.0,15967.0,1.0
p_pain[7],0.952,0.024,0.908,0.99,0.0,0.0,21053.0,13809.0,1.0
p_pain[8],0.797,0.055,0.69,0.893,0.0,0.0,36837.0,17221.0,1.0
p_pain[9],0.997,0.003,0.991,1.0,0.0,0.0,26645.0,17893.0,1.0
p_pain[10],0.243,0.109,0.062,0.448,0.001,0.001,16541.0,7726.0,1.0
p_pain[11],0.992,0.007,0.98,1.0,0.0,0.0,33532.0,19244.0,1.0
p_pain[12],0.997,0.004,0.991,1.0,0.0,0.0,20685.0,13703.0,1.0
p_pain[13],0.589,0.116,0.368,0.799,0.001,0.001,22078.0,8703.0,1.0
p_pain[14],0.759,0.035,0.695,0.826,0.0,0.0,29439.0,18786.0,1.0
p_pain[15],0.999,0.002,0.997,1.0,0.0,0.0,21443.0,14421.0,1.0
p_pain[16],0.642,0.042,0.562,0.72,0.0,0.0,33020.0,14739.0,1.0
p_pain[17],0.996,0.004,0.989,1.0,0.0,0.0,21736.0,14498.0,1.0
p_pain[18],0.936,0.027,0.885,0.981,0.0,0.0,23526.0,16524.0,1.0
p_pain[19],0.994,0.006,0.983,1.0,0.0,0.0,24083.0,16809.0,1.0
p_pain[20],0.869,0.059,0.76,0.966,0.0,0.0,35681.0,15610.0,1.0
p_pain[21],0.999,0.001,0.997,1.0,0.0,0.0,20610.0,13388.0,1.0
p_pain[22],0.45,0.084,0.294,0.609,0.001,0.001,18588.0,8575.0,1.0
p_pain[23],0.988,0.01,0.971,0.999,0.0,0.0,20845.0,13803.0,1.0
p_pain[24],0.997,0.004,0.991,1.0,0.0,0.0,20685.0,13703.0,1.0
p_pain[25],0.984,0.012,0.963,0.999,0.0,0.0,22266.0,15488.0,1.0
p_pain[26],0.974,0.016,0.946,0.997,0.0,0.0,26046.0,17246.0,1.0
p_pain[27],0.987,0.01,0.97,0.999,0.0,0.0,29439.0,18786.0,1.0
p_pain[28],0.999,0.001,0.997,1.0,0.0,0.0,20610.0,13388.0,1.0
p_pain[29],0.759,0.035,0.695,0.826,0.0,0.0,29439.0,18786.0,1.0
p_pain[30],0.992,0.007,0.98,1.0,0.0,0.0,33532.0,19244.0,1.0
p_pain[31],0.948,0.026,0.9,0.988,0.0,0.0,34909.0,19496.0,1.0
p_pain[32],0.952,0.024,0.908,0.99,0.0,0.0,21053.0,13809.0,1.0
p_pain[33],0.994,0.006,0.983,1.0,0.0,0.0,24083.0,16809.0,1.0
p_pain[34],0.589,0.116,0.368,0.799,0.001,0.001,22078.0,8703.0,1.0
p_pain[35],0.45,0.084,0.294,0.609,0.001,0.001,18588.0,8575.0,1.0
p_pain[36],0.997,0.003,0.991,1.0,0.0,0.0,26645.0,17893.0,1.0
p_pain[37],0.895,0.034,0.832,0.955,0.0,0.0,31428.0,18931.0,1.0
p_pain[38],0.968,0.021,0.929,0.997,0.0,0.0,37955.0,18925.0,1.0
p_pain[39],0.988,0.01,0.971,0.999,0.0,0.0,20845.0,13803.0,1.0
p_pain[40],0.936,0.027,0.885,0.981,0.0,0.0,23526.0,16524.0,1.0
p_pain[41],0.814,0.038,0.743,0.883,0.0,0.0,21736.0,14498.0,1.0
p_pain[42],0.998,0.002,0.995,1.0,0.0,0.0,23113.0,15967.0,1.0
p_pain[43],0.797,0.055,0.69,0.893,0.0,0.0,36837.0,17221.0,1.0
p_pain[44],0.243,0.109,0.062,0.448,0.001,0.001,16541.0,7726.0,1.0
p_pain[45],0.869,0.059,0.76,0.966,0.0,0.0,35681.0,15610.0,1.0
p_pain[46],0.996,0.004,0.989,1.0,0.0,0.0,21736.0,14498.0,1.0
p_pain[47],0.999,0.002,0.997,1.0,0.0,0.0,21443.0,14421.0,1.0
p_pain[48],0.642,0.042,0.562,0.72,0.0,0.0,33020.0,14739.0,1.0
p_pain[49],0.952,0.024,0.908,0.99,0.0,0.0,21053.0,13809.0,1.0
p_pain[50],0.589,0.116,0.368,0.799,0.001,0.001,22078.0,8703.0,1.0
p_pain[51],0.987,0.01,0.97,0.999,0.0,0.0,29439.0,18786.0,1.0
p_pain[52],0.996,0.004,0.989,1.0,0.0,0.0,21736.0,14498.0,1.0
p_pain[53],0.814,0.038,0.743,0.883,0.0,0.0,21736.0,14498.0,1.0
p_pain[54],0.895,0.034,0.832,0.955,0.0,0.0,31428.0,18931.0,1.0
p_pain[55],0.642,0.042,0.562,0.72,0.0,0.0,33020.0,14739.0,1.0
p_pain[56],0.759,0.035,0.695,0.826,0.0,0.0,29439.0,18786.0,1.0
p_pain[57],0.797,0.055,0.69,0.893,0.0,0.0,36837.0,17221.0,1.0
p_pain[58],0.948,0.026,0.9,0.988,0.0,0.0,34909.0,19496.0,1.0
p_pain[59],0.974,0.016,0.946,0.997,0.0,0.0,26046.0,17246.0,1.0
p_pain[60],0.994,0.006,0.983,1.0,0.0,0.0,24083.0,16809.0,1.0
p_pain[61],0.999,0.002,0.997,1.0,0.0,0.0,21443.0,14421.0,1.0
p_pain[62],0.997,0.004,0.991,1.0,0.0,0.0,20685.0,13703.0,1.0
p_pain[63],0.997,0.003,0.991,1.0,0.0,0.0,26645.0,17893.0,1.0
p_pain[64],0.998,0.002,0.995,1.0,0.0,0.0,23113.0,15967.0,1.0
p_pain[65],0.936,0.027,0.885,0.981,0.0,0.0,23526.0,16524.0,1.0
p_pain[66],0.999,0.001,0.997,1.0,0.0,0.0,20610.0,13388.0,1.0
p_pain[67],0.243,0.109,0.062,0.448,0.001,0.001,16541.0,7726.0,1.0
p_pain[68],0.968,0.021,0.929,0.997,0.0,0.0,37955.0,18925.0,1.0
p_pain[69],0.988,0.01,0.971,0.999,0.0,0.0,20845.0,13803.0,1.0
p_pain[70],0.869,0.059,0.76,0.966,0.0,0.0,35681.0,15610.0,1.0
p_pain[71],0.992,0.007,0.98,1.0,0.0,0.0,33532.0,19244.0,1.0
p_pain[72],0.984,0.012,0.963,0.999,0.0,0.0,22266.0,15488.0,1.0
p_pain[73],0.45,0.084,0.294,0.609,0.001,0.001,18588.0,8575.0,1.0
p_pain[74],0.45,0.084,0.294,0.609,0.001,0.001,18588.0,8575.0,1.0
p_pain[75],0.952,0.024,0.908,0.99,0.0,0.0,21053.0,13809.0,1.0
p_pain[76],0.996,0.004,0.989,1.0,0.0,0.0,21736.0,14498.0,1.0
p_pain[77],0.948,0.026,0.9,0.988,0.0,0.0,34909.0,19496.0,1.0
p_pain[78],0.814,0.038,0.743,0.883,0.0,0.0,21736.0,14498.0,1.0
p_pain[79],0.797,0.055,0.69,0.893,0.0,0.0,36837.0,17221.0,1.0
p_pain[80],0.869,0.059,0.76,0.966,0.0,0.0,35681.0,15610.0,1.0
p_pain[81],0.974,0.016,0.946,0.997,0.0,0.0,26046.0,17246.0,1.0
p_pain[82],0.999,0.002,0.997,1.0,0.0,0.0,21443.0,14421.0,1.0
p_pain[83],0.997,0.003,0.991,1.0,0.0,0.0,26645.0,17893.0,1.0
p_pain[84],0.988,0.01,0.971,0.999,0.0,0.0,20845.0,13803.0,1.0
p_pain[85],0.998,0.002,0.995,1.0,0.0,0.0,23113.0,15967.0,1.0
p_pain[86],0.992,0.007,0.98,1.0,0.0,0.0,33532.0,19244.0,1.0
p_pain[87],0.642,0.042,0.562,0.72,0.0,0.0,33020.0,14739.0,1.0
p_pain[88],0.997,0.004,0.991,1.0,0.0,0.0,20685.0,13703.0,1.0
p_pain[89],0.759,0.035,0.695,0.826,0.0,0.0,29439.0,18786.0,1.0
p_pain[90],0.987,0.01,0.97,0.999,0.0,0.0,29439.0,18786.0,1.0
p_pain[91],0.994,0.006,0.983,1.0,0.0,0.0,24083.0,16809.0,1.0
p_pain[92],0.895,0.034,0.832,0.955,0.0,0.0,31428.0,18931.0,1.0
p_pain[93],0.984,0.012,0.963,0.999,0.0,0.0,22266.0,15488.0,1.0
